Tmax(n75_TLPn75_des) X,Tmax(n75_TLPn75_des) Y,Tmax(n76_TLPn76_des) X,Tmax(n76_TLPn76_des) Y,Tmax(n77_TLPn77_des) X,Tmax(n77_TLPn77_des) Y,Tmax(n78_TLPn78_des) X,Tmax(n78_TLPn78_des) Y,Tmax(n79_TLPn79_des) X,Tmax(n79_TLPn79_des) Y,Tmax(n80_TLPn80_des) X,Tmax(n80_TLPn80_des) Y,Tmax(n297_TLPn297_des) X,Tmax(n297_TLPn297_des) Y,Tmax(n310_TLPn310_des) X,Tmax(n310_TLPn310_des) Y,Tmax(n323_TLPn323_des) X,Tmax(n323_TLPn323_des) Y,Tmax(n336_TLPn336_des) X,Tmax(n336_TLPn336_des) Y,Tmax(n349_TLPn349_des) X,Tmax(n349_TLPn349_des) Y,Tmax(n362_TLPn362_des) X,Tmax(n362_TLPn362_des) Y,Tmax(n375_TLPn375_des) X,Tmax(n375_TLPn375_des) Y,Tmax(n388_TLPn388_des) X,Tmax(n388_TLPn388_des) Y,Tmax(n401_TLPn401_des) X,Tmax(n401_TLPn401_des) Y,Tmax(n414_TLPn414_des) X,Tmax(n414_TLPn414_des) Y,Tmax(n427_TLPn427_des) X,Tmax(n427_TLPn427_des) Y,Tmax(n440_TLPn440_des) X,Tmax(n440_TLPn440_des) Y,Tmax(n453_TLPn453_des) X,Tmax(n453_TLPn453_des) Y,Tmax(n466_TLPn466_des) X,Tmax(n466_TLPn466_des) Y,Tmax(n479_TLPn479_des) X,Tmax(n479_TLPn479_des) Y,Tmax(n492_TLPn492_des) X,Tmax(n492_TLPn492_des) Y,Tmax(n607_TLPn607_des) X,Tmax(n607_TLPn607_des) Y,Tmax(n609_TLPn609_des) X,Tmax(n609_TLPn609_des) Y,Tmax(n611_TLPn611_des) X,Tmax(n611_TLPn611_des) Y,Tmax(n613_TLPn613_des) X,Tmax(n613_TLPn613_des) Y,Tmax(n615_TLPn615_des) X,Tmax(n615_TLPn615_des) Y,Tmax(n617_TLPn617_des) X,Tmax(n617_TLPn617_des) Y,Tmax(n619_TLPn619_des) X,Tmax(n619_TLPn619_des) Y
-1.87E-05,300,0.000661384,300,0.006781105,300,0.067870753,300.00003,0.094952683,300.00005,0.1219872,300.00006,-1.19E-05,300,4.93E-05,300,0.013578633,300.00001,0.020373833,300.00001,0.027166653,300.00001,0.033957044,300.00002,0.040744954,300.00002,0.047530331,300.00002,0.054313125,300.00003,0.061093283,300.00003,0.074645483,300.00004,0.081417417,300.00004,0.088186503,300.00004,0.1017159,300.00005,0.1084761,300.00005,0.11523322,300.00005,0.12873798,300.00006,0.1354855,300.00006,0.14222969,300.00007,0.14897048,300.00007,0.15570782,300.00007,0.16244162,300.00008,0.16917181,300.00008
-1.87E-05,300,0.00245657,300,0.024720282,300.00001,0.24560314,300.00008,0.342301,300.0001,0.43731145,300.00013,6.06E-06,300,0.000228845,300,0.049427303,300.00002,0.074099888,300.00002,0.098735482,300.00003,0.12333138,300.00004,0.14788468,300.00005,0.1723922,300.00005,0.19685045,300.00006,0.22125555,300.00007,0.26988817,300.00008,0.2941047,300.00009,0.31824543,300.0001,0.3662587,300.00011,0.39010038,300.00011,0.41379876,300.00012,0.46057142,300.00014,0.48347314,300.00015,0.50585542,300.00016,0.52748694,300.00018,0.54806885,300.0002,0.56727253,300.00024,0.23458562,300.0001
-1.87E-05,300,0.00602028,300,0.060286136,300.00001,0.57279657,300.0002,0.67027936,300.00136,0.70801647,300.0032,4.17E-05,300,0.000585282,300,0.12037904,300.00003,0.18021973,300.00004,0.23975865,300.00005,0.29892934,300.00006,0.35762729,300.00007,0.41563436,300.00007,0.47234727,300.00009,0.52599919,300.00012,0.60919066,300.00037,0.63572239,300.00063,0.65527144,300.00097,0.68228804,300.00179,0.69222936,300.00224,0.70068119,300.00271,0.71448488,300.0037,0.72025819,300.0042,0.72545624,300.00472,0.73016282,300.00524,0.73443675,300.00576,0.66949677,300.00071,0.33394682,300.00013
-1.87E-05,300,0.012325268,300,0.12303954,300.00002,0.71398353,300.0041,0.73889314,300.00781,0.75334339,300.01151,0.000104781,300,0.001216036,300,0.2450242,300.00003,0.36538043,300.00004,0.48190882,300.00005,0.57961814,300.00018,0.63672064,300.00065,0.6681661,300.00139,0.68846394,300.00224,0.70304361,300.00316,0.72230909,300.00503,0.6943428,300.00153,0.70535921,300.0021,0.74301292,300.00873,0.74674192,300.00965,0.75016605,300.01058,0.75631525,300.01244,0.75911218,300.01337,0.76175752,300.0143,0.76426953,300.01524,0.76666287,300.01618,0.72417927,300.00258,0.48093793,300.00017
-1.87E-05,300,0.0228094,300,0.22678926,300.00001,0.74148656,300.01089,0.75867519,300.01708,0.77160241,300.02334,0.000209713,300,0.002265276,300,0.44756838,300.00002,0.61159183,300.00036,0.67057947,300.0016,0.69741489,300.00314,0.7121409,300.00469,0.7219533,300.00623,0.72957966,300.00778,0.73595566,300.00933,0.74639534,300.01244,0.72061184,300.00322,0.72651411,300.00394,0.76219922,300.01864,0.7655108,300.0202,0.76863779,300.02177,0.77442285,300.02492,0.77711421,300.0265,0.77968923,300.02809,0.78215878,300.02967,0.78453222,300.03127,0.74479773,300.00537,0.65629737,300.00062
-1.87E-05,300,0.039585127,300,0.39033139,299.99999,0.75656345,300.02045,0.77371696,300.03052,0.78698761,300.04073,0.000377734,300,0.003945259,300,0.64072166,300.00082,0.69167189,300.0032,0.71033803,300.00565,0.72223558,300.00811,0.73134052,300.01055,0.73891121,300.013,0.74547699,300.01547,0.75130614,300.01796,0.76136132,300.02296,0.73218064,300.00532,0.73649442,300.00616,0.77731665,300.03305,0.78071286,300.0356,0.78392981,300.03816,0.78990307,300.0433,0.79269045,300.04588,0.79536194,300.04847,0.79792804,300.05107,0.80039786,300.05367,0.75549456,300.00878,0.73254081,300.00358
-1.87E-05,300,0.065738275,300,0.59227538,300.00021,0.77001649,300.03441,0.78768692,300.05031,0.80145228,300.06647,0.000639986,300,0.006567171,300,0.6892326,300.0037,0.7111273,300.00745,0.72495915,300.01121,0.73565127,300.015,0.74448237,300.01882,0.75205035,300.02268,0.75869609,300.02656,0.76463579,300.03048,0.77494309,300.03836,0.73986687,300.00786,0.74385434,300.00888,0.79141312,300.05433,0.79493395,300.05836,0.79827363,300.06241,0.80448681,300.07055,0.80739155,300.07463,0.81017876,300.07873,0.81285902,300.08284,0.81544152,300.08695,0.76442862,300.0131,0.75452477,300.00797
-1.87E-05,300,0.10574869,299.99999,0.66472538,300.00209,0.7828503,300.05494,0.80113137,300.07955,0.81545701,300.10456,0.001041987,300,0.010585654,300,0.70419016,300.0077,0.72318786,300.01337,0.73684289,300.01913,0.7476468,300.02497,0.75664259,300.03087,0.76438352,300.03682,0.77120031,300.04282,0.777307,300.04886,0.78793525,300.06105,0.74701974,300.01107,0.75098644,300.01236,0.80500174,300.08577,0.80866386,300.09201,0.81214218,300.09827,0.81862543,300.11086,0.82166193,300.11719,0.82457892,300.12353,0.82738709,300.1299,0.83009574,300.13627,0.77330231,300.01879,0.76638878,300.01349
-1.87E-05,300,0.16606548,299.99998,0.68308111,300.00497,0.79536088,300.08518,0.81432914,300.12267,0.82928244,300.1608,0.00165009,300,0.016662994,300,0.71522353,300.01333,0.73425585,300.02192,0.74813211,300.03067,0.75916095,300.03956,0.76837285,300.04853,0.77632047,300.05759,0.78333552,300.06672,0.78963311,300.07592,0.80062463,300.09449,0.75436352,300.01528,0.75837099,300.01691,0.81836113,300.13215,0.82218156,300.14166,0.82581514,300.15121,0.83260074,300.17042,0.83578472,300.18006,0.83884694,300.18974,0.84179826,300.19945,0.84464811,300.20918,0.7823894,300.02645,0.77700808,300.02081
-1.87E-05,300,0.25582557,299.99996,0.69381979,300.00896,0.80774214,300.12967,0.82748068,300.18619,0.84313755,300.24371,0.002560807,300,0.02576145,300,0.72564124,300.0215,0.74496796,300.03442,0.75912552,300.0476,0.77041665,300.06096,0.77987517,300.07448,0.7880567,300.08812,0.79529515,300.10187,0.80180732,300.11573,0.81320641,300.14369,0.76201573,300.02088,0.7660816,300.023,0.83169381,300.20048,0.83569166,300.21483,0.8394993,300.22924,0.84662394,300.25822,0.84997337,300.27279,0.85319858,300.2874,0.85631059,300.30206,0.85931899,300.31676,0.79174546,300.03687,0.78755912,300.03081
