Tmax(n75_TLPn75_des) X,Tmax(n75_TLPn75_des) Y,Tmax(n76_TLPn76_des) X,Tmax(n76_TLPn76_des) Y,Tmax(n77_TLPn77_des) X,Tmax(n77_TLPn77_des) Y,Tmax(n78_TLPn78_des) X,Tmax(n78_TLPn78_des) Y,Tmax(n79_TLPn79_des) X,Tmax(n79_TLPn79_des) Y,Tmax(n80_TLPn80_des) X,Tmax(n80_TLPn80_des) Y,Tmax(n297_TLPn297_des) X,Tmax(n297_TLPn297_des) Y,Tmax(n310_TLPn310_des) X,Tmax(n310_TLPn310_des) Y,Tmax(n323_TLPn323_des) X,Tmax(n323_TLPn323_des) Y,Tmax(n336_TLPn336_des) X,Tmax(n336_TLPn336_des) Y,Tmax(n349_TLPn349_des) X,Tmax(n349_TLPn349_des) Y,Tmax(n362_TLPn362_des) X,Tmax(n362_TLPn362_des) Y,Tmax(n375_TLPn375_des) X,Tmax(n375_TLPn375_des) Y,Tmax(n388_TLPn388_des) X,Tmax(n388_TLPn388_des) Y,Tmax(n401_TLPn401_des) X,Tmax(n401_TLPn401_des) Y,Tmax(n414_TLPn414_des) X,Tmax(n414_TLPn414_des) Y,Tmax(n427_TLPn427_des) X,Tmax(n427_TLPn427_des) Y,Tmax(n440_TLPn440_des) X,Tmax(n440_TLPn440_des) Y,Tmax(n453_TLPn453_des) X,Tmax(n453_TLPn453_des) Y,Tmax(n466_TLPn466_des) X,Tmax(n466_TLPn466_des) Y,Tmax(n479_TLPn479_des) X,Tmax(n479_TLPn479_des) Y,Tmax(n492_TLPn492_des) X,Tmax(n492_TLPn492_des) Y,Tmax(n607_TLPn607_des) X,Tmax(n607_TLPn607_des) Y,Tmax(n609_TLPn609_des) X,Tmax(n609_TLPn609_des) Y,Tmax(n611_TLPn611_des) X,Tmax(n611_TLPn611_des) Y,Tmax(n613_TLPn613_des) X,Tmax(n613_TLPn613_des) Y,Tmax(n615_TLPn615_des) X,Tmax(n615_TLPn615_des) Y,Tmax(n617_TLPn617_des) X,Tmax(n617_TLPn617_des) Y,Tmax(n619_TLPn619_des) X,Tmax(n619_TLPn619_des) Y
-1.87E-05,300,0.38704178,299.99993,0.70362299,300.01473,0.8201432,300.19507,0.84074608,300.27963,0.85719387,300.36578,0.003914265,300,0.03927574,299.99999,0.73580427,300.03344,0.75548717,300.05275,0.76996653,300.07242,0.78155419,300.09238,0.79129024,300.11257,0.79973439,300.13295,0.80722344,300.15351,0.81397622,300.17422,0.82583237,300.21604,0.76999389,300.02844,0.77413031,300.0312,0.84516269,300.30103,0.84935995,300.32252,0.8533633,300.34411,0.86086947,300.38753,0.86440521,300.40936,0.86781406,300.43127,0.87110722,300.45324,0.87429442,300.47529,0.80140299,300.05116,0.79821767,300.04465
-1.87E-05,300,0.54333452,300.00001,0.71317631,300.02314,0.83268858,300.29108,0.85426404,300.41695,0.87160441,300.54532,0.005913594,300,0.059222273,299.99999,0.74583017,300.05094,0.76591931,300.07959,0.7807613,300.10881,0.79268192,300.13845,0.80272921,300.16844,0.81146786,300.19873,0.81923801,300.22928,0.82626085,300.26008,0.83863052,300.32229,0.77830515,300.03872,0.78252428,300.04237,0.85891002,300.44883,0.86333226,300.48085,0.86755656,300.51302,0.8754939,300.57775,0.87924042,300.6103,0.88285714,300.64298,0.88635547,300.67577,0.88974532,300.70868,0.8113947,300.07089,0.80906184,300.06394
-1.87E-05,300,0.61064427,300.00094,0.72260113,300.03545,0.84548988,300.43195,0.86816374,300.61861,0.8865161,300.8092,0.008852884,300,0.088507471,299.99998,0.75580087,300.07655,0.77634746,300.1189,0.79159614,300.1621,0.80388999,300.20594,0.81428637,300.25031,0.82335565,300.29515,0.83144173,300.34039,0.83876843,300.386,0.85171685,300.4782,0.78695832,300.05284,0.79127316,300.05774,0.87306945,300.66592,0.87774664,300.71346,0.88222157,300.76122,0.89064864,300.85738,0.89463484,300.90577,0.89848814,300.95434,0.90222015,301.0031,0.90584099,301.05204,0.82175677,300.09834,0.82015864,300.09101
-1.87E-05,300,0.62888403,300.00254,0.73196496,300.05345,0.85865372,300.63849,0.88257373,300.91459,0.9020798,301.19689,0.01315741,300,0.13130258,299.99997,0.76578209,300.114,0.78684134,300.17642,0.80254569,300.24009,0.81525822,300.30475,0.82604683,300.37022,0.83548821,300.4364,0.84393042,300.50321,0.85160017,300.57059,0.86520344,300.70686,0.79596578,300.0724,0.80039048,300.07902,0.88777503,300.98463,0.89274273,301.05504,0.89750357,301.12579,0.90649018,301.26831,0.91075068,301.34005,0.91487499,301.4121,0.91887496,301.48444,0.92276092,301.55707,0.83253024,300.13675,0.83157326,300.12918
-1.87E-05,300,0.63841444,300.00484,0.74132009,300.07975,0.8722881,300.9412,0.89762975,301.34891,0.91846018,301.76639,0.019441498,300,0.19354787,299.99996,0.77582976,300.16874,0.79746283,300.2605,0.81367816,300.35417,0.82686131,300.44933,0.83809183,300.54574,0.84795339,300.64323,0.85679858,300.7417,0.86485731,300.84104,0.87920512,301.04211,0.80534422,300.09968,0.80989445,300.1087,0.90316963,301.45243,0.9084706,301.55653,0.91355988,301.66119,0.92319064,301.87211,0.92776754,301.97833,0.93220488,302.08505,0.93651476,302.19224,0.94070772,302.29989,0.84376221,300.19083,0.84337246,300.18331
-1.87E-05,300,0.64686745,300.00818,0.75071007,300.11815,0.88650856,301.3848,0.91348362,301.98622,0.93584791,302.6031,0.028591606,299.99999,0.28351497,299.99993,0.78599387,300.2487,0.80826955,300.38339,0.82505907,300.52095,0.83877279,300.6608,0.85050304,300.80255,0.86084111,300.94599,0.87014454,301.09092,0.87864667,301.23723,0.89384625,301.53355,0.81511541,300.13797,0.81980867,300.15037,0.91941454,302.13909,0.92510114,302.29288,0.9305712,302.44756,0.94095079,302.75947,0.9458965,302.91665,0.95069933,303.07462,0.95537166,303.23335,0.95992427,303.39282,0.8555072,300.26738,0.85562716,300.26039
-1.87E-05,300,0.6526728,300.01131,0.75731326,300.15405,0.89686281,301.80055,0.92512954,302.58416,0.94871643,303.3889,0.037116693,299.99999,0.36598922,299.9999,0.79319094,300.32346,0.81596161,300.49831,0.83319512,300.67699,0.84732052,300.8587,0.85943974,301.04297,0.87014975,301.2295,0.87981182,301.41804,0.88866187,301.60844,0.9045321,301.99426,0.82530696,300.192,0.830163,300.20919,0.93137127,302.78349,0.93736499,302.98409,0.94313886,303.18591,0.95411753,303.59305,0.95935908,303.7983,0.96445558,304.00464,0.96941963,304.21203,0.97426218,304.42046,0.86782863,300.37625,0.86841476,300.37063
-1.87E-05,300,0.65298819,300.01668,0.75731564,300.21538,0.89671902,302.51293,0.92502645,303.60935,0.9486989,304.73695,0.052168205,299.99999,0.48650442,299.99993,0.79314283,300.45128,0.81588171,300.6949,0.83309199,300.94399,0.84720011,301.19745,0.8593069,301.4546,0.8700087,301.715,0.87966638,301.97835,0.88851558,302.24439,0.904394,302.78382,0.83595315,300.26864,0.84099441,300.29263,0.93128554,303.88851,0.93729933,304.16954,0.94309597,304.45237,0.95412795,305.02324,0.95939997,305.31118,0.96452944,305.60074,0.96952892,305.89188,0.97440934,306.18456,0.88080068,300.53176,0.88182172,300.52883
-1.87E-05,300,0.65299135,300.0231,0.75726257,300.28878,0.89653175,303.36584,0.92488915,304.83701,0.94866478,306.35163,0.070212733,299.99998,0.54220368,300.0003,0.79305111,300.60425,0.8157597,300.9302,0.83294619,301.26358,0.84703608,301.60293,0.8591296,301.94733,0.86982271,302.29621,0.87947598,302.64913,0.88832481,303.00576,0.90421394,303.72917,0.8470959,300.37781,0.85234805,300.41151,0.93116923,305.21184,0.93720726,305.58927,0.9430313,305.96923,0.95412745,306.73642,0.95943612,307.12353,0.96460525,307.51292,0.96964734,307.90452,0.97457329,308.29831,0.8945108,300.75475,0.89594657,300.75662
-1.87E-05,300,0.65298331,300.03079,0.75719864,300.37683,0.89630695,304.38916,0.92472443,306.31026,0.94862421,308.28977,0.091839737,299.99998,0.55545651,300.00094,0.79294094,300.78777,0.81561321,301.21248,0.83277114,301.64698,0.84683914,302.08936,0.85891675,302.53845,0.86959943,302.99348,0.8792474,303.45387,0.8880958,303.91922,0.90399781,304.86345,0.85878605,300.53391,0.86427869,300.58154,0.93102976,306.79997,0.93709694,307.2932,0.94295397,307.78983,0.95412735,308.79294,0.95948016,309.29925,0.96469704,309.80865,0.96979046,310.32107,0.97477128,310.83645,0.90906311,301.07559,0.91090385,301.08557
-1.87E-05,300,0.65297333,300.04003,0.75712193,300.48249,0.89603735,305.61718,0.92452722,308.07857,0.94857657,310.61677,0.11775103,299.99997,0.55780592,300.00173,0.79280875,301.00796,0.81543743,301.55116,0.83256111,302.107,0.84660287,302.67302,0.85866139,303.24772,0.86933157,303.83013,0.87897321,304.41952,0.88782112,305.01534,0.90373866,306.22468,0.87108509,300.75791,0.87685266,300.82556,0.93086295,308.70632,0.93696525,309.33869,0.94286203,309.97554,0.95412849,311.26226,0.9595345,311.91193,0.96480897,312.56569,0.96996429,313.22346,0.97501129,313.88517,0.92458348,301.5387,0.92682975,301.56185
-1.87E-05,300,0.65296136,300.05112,0.75702988,300.60926,0.8957141,307.09087,0.92429125,310.20119,0.94852095,313.41095,0.14877868,299.99996,0.55815172,300.00269,0.79265014,301.27217,0.81522654,301.95752,0.83230914,302.65894,0.8463194,303.3733,0.85835504,304.09875,0.86901026,304.83402,0.87864434,305.57823,0.8874917,306.33069,0.90342803,307.85833,0.88406761,301.08032,0.89015064,301.17689,0.93066364,310.99479,0.93680828,311.79439,0.94275299,312.59983,0.95413172,314.22763,0.95960194,315.04976,0.96494591,315.87724,0.97017598,316.70997,0.97530292,317.54788,0.94122725,302.20912,0.94389049,302.25322
-1.87E-05,300,0.65294699,300.06442,0.75691944,300.76138,0.89532658,308.85936,0.9240091,312.7492,0.94845649,316.76645,0.18589953,299.99995,0.55819358,300.00384,0.79245984,301.58916,0.81497352,302.44508,0.83200684,303.32115,0.84597935,304.21351,0.85798756,305.11983,0.86862486,306.03856,0.87824992,306.9686,0.88709669,307.90908,0.90305576,309.81891,0.89782504,301.54567,0.90427192,301.68414,0.93042572,313.74216,0.93662146,314.74282,0.94262402,315.75097,0.95413834,317.78911,0.95968613,318.81882,0.9651141,319.85545,0.97043455,320.89916,0.97565819,321.94939,0.95919132,303.18234,0.96229544,303.25925
-1.87E-05,300,0.65292975,300.08038,0.75678692,300.94389,0.89486212,310.98165,0.92367199,315.80803,0.9483825,320.79651,0.23022398,299.99994,0.55819627,300.00522,0.79223153,301.96949,0.81466997,303.03003,0.83164419,304.11565,0.84557143,305.22157,0.85754679,306.34493,0.86816264,307.48383,0.87777695,308.6369,0.88662313,309.8031,0.90260977,312.17189,0.91175895,302.17879,0.91860707,302.37449,0.93014206,317.04065,0.93639955,318.28309,0.94247203,319.53511,0.95415031,322.06747,0.95979198,323.34721,0.96532163,324.63588,0.97075154,325.93362,0.97609234,327.23985,0.97873375,304.59899,0.98231814,304.72669
-1.87E-05,300,0.65290907,300.09953,0.75662792,301.16288,0.89430561,313.52848,0.92326967,319.48024,0.94829867,325.63797,0.28282342,299.99992,0.55819437,300.00687,0.79195761,302.42579,0.81430582,303.7318,0.83120916,305.0688,0.84508215,306.43095,0.85701814,307.81474,0.86760836,309.21786,0.87720989,310.63864,0.8860555,312.07583,0.90207566,314.99582,0.9116444,302.95602,0.91850298,303.2221,0.9298044,321.00107,0.93613662,322.53436,0.94229373,324.0804,0.95417066,327.20769,0.95992612,328.78875,0.96557912,330.38129,0.97114186,331.98545,0.97662493,333.60063,0.97899206,304.61862,0.98361902,304.82796
-1.87E-05,300,0.65288424,300.12252,0.75643715,301.42561,0.89363904,316.58474,0.92279015,323.88898,0.94820548,331.45479,0.34345623,299.9999,0.55819163,300.00886,0.79162899,302.9732,0.81386899,304.57367,0.83068736,306.21224,0.84449532,307.88179,0.85638419,309.57806,0.86694377,311.29825,0.87653015,313.04037,0.88537529,314.80292,0.90143633,318.38492,0.91149281,303.88646,0.91836418,304.23684,0.92940321,325.75731,0.93582606,327.64081,0.94208588,329.54038,0.954204,333.38464,0.96009774,335.32909,0.96590073,337.28831,0.97162511,339.2624,0.97728143,341.25081,0.97916084,306.27511,0.98382602,306.56082
-1.87E-05,300,0.65285445,300.15009,0.75620828,301.74083,0.89284103,320.25216,0.92221949,329.18352,0.94810481,338.44483,0.40385357,299.99991,0.55818831,300.01124,0.79123479,303.6299,0.81334502,305.58356,0.83006153,307.58386,0.8437916,309.62216,0.85562407,311.69335,0.8661471,313.79405,0.87571555,315.92187,0.88456049,318.07503,0.90067156,322.45221,0.91131079,305.00284,0.91819753,305.45443,0.92892784,331.46936,0.93546087,333.77463,0.94184564,336.1002,0.95425743,340.8091,0.96031975,343.1922,0.96630572,345.59429,0.97222747,348.01552,0.97809553,350.45531,0.97935097,308.25951,0.98406208,308.63686
-1.87E-05,300,0.65281871,300.18319,0.75593371,302.11899,0.89188625,324.65265,0.92154204,335.54143,0.94800096,346.84654,0.44388725,300.00002,0.55818433,300.01411,0.79076193,304.41765,0.81271658,306.79491,0.82931103,309.22906,0.84294781,311.7097,0.85471286,314.23067,0.86519235,316.78794,0.87473969,319.37868,0.88358489,322.00078,0.89975723,327.33446,0.91109258,306.34265,0.91799784,306.91577,0.92836656,338.33008,0.93503401,341.14359,0.94157129,343.98282,0.954342,349.73535,0.96061063,352.64848,0.96682079,355.58611,0.97298462,358.54843,0.9791127,361.53493,0.97958019,310.64221,0.98434663,311.12979
-1.87E-05,300,0.65277582,300.22289,0.75560432,302.57265,0.89074438,329.93432,0.9207403,343.17689,0.94790241,356.94753,0.46045851,300.00026,0.55817954,300.01754,0.79019477,305.36252,0.81196293,308.24776,0.82841114,311.2022,0.84193628,314.21334,0.8536208,317.27383,0.86404852,320.37888,0.87357118,323.52513,0.88241752,326.71011,0.89866542,333.19405,0.91083108,307.95064,0.91775864,308.66973,0.92770706,346.57144,0.93453918,349.9978,0.94126346,353.4569,0.95447499,360.47038,0.96099746,364.02472,0.96748384,367.61082,0.97394636,371.22896,0.98039573,374.87873,0.97985751,313.5042,0.98469068,314.12444
-1.87E-05,300,0.65272436,300.27054,0.7552092,303.11684,0.88938044,336.27188,0.91979554,352.34738,0.9478248,369.09496,0.46548865,300.00059,0.5581738,300.02166,0.78951457,306.49576,0.81105925,309.99007,0.82733235,313.56833,0.84072398,317.21558,0.85231247,320.92307,0.86267885,324.68512,0.87217221,328.50015,0.88102097,332.36183,0.89736347,340.22646,0.91051778,309.88056,0.91747224,310.77499,0.92693741,356.4725,0.93397244,360.63849,0.94092738,364.84633,0.95468379,373.38517,0.96152076,377.71639,0.96834993,382.08903,0.97518382,386.50356,0.98203344,390.95972,0.98019363,316.94254,0.98510741,317.72254
-1.87E-05,300,0.65266261,300.32771,0.75473526,303.76958,0.88775342,343.87585,0.91868893,363.3624,0.94779588,383.70831,0.4667398,300.001,0.55816691,300.0266,0.7886989,307.85474,0.80997587,312.07919,0.82603941,316.40521,0.83927158,320.81495,0.8507458,325.29798,0.86103875,329.851,0.87049893,334.46711,0.87935244,339.14156,0.89581388,348.66605,0.91014256,312.19689,0.91712949,313.30198,0.92604797,368.36916,0.93333487,373.4286,0.94057658,378.54194,0.95501219,388.92875,0.96224232,394.20296,0.96950099,399.53165,0.97680124,404.91557,0.9841547,410.35481,0.98060189,321.07434,0.98561314,322.04692
-1.87E-05,300,0.65258851,300.39631,0.75416683,304.55245,0.88581613,352.99827,0.91740399,376.59409,0.94786375,401.29537,0.46700385,300.0015,0.55815864,300.03253,0.78772095,309.48422,0.80867736,314.58367,0.82449035,319.80565,0.83753238,325.12882,0.84886947,330.5453,0.85907681,336.04498,0.86849941,341.62266,0.87736154,347.27329,0.89397436,358.79368,0.90969339,314.97708,0.91671958,316.33531,0.92503488,382.66581,0.93263754,388.80588,0.94023937,395.01588,0.95553082,407.64584,0.9632582,414.06746,0.97106155,420.56144,0.97895493,427.1291,0.9869511,433.77108,0.98109902,326.04057,0.98622835,327.24542
-1.87E-05,300,0.65249961,300.47862,0.75348516,305.49128,0.88351527,363.94074,0.91593098,392.49008,0.94811075,422.47261,0.4670508,300.0021,0.55814872,300.03965,0.78654864,311.43766,0.80712149,317.5853,0.82263533,323.88009,0.83544908,330.30189,0.84662471,336.83478,0.85673201,343.46995,0.86611306,350.20171,0.87499023,357.02483,0.89179865,370.94569,0.909156,318.31404,0.91622975,319.97651,0.92390635,399.84986,0.93190979,407.29903,0.93996973,414.83984,0.95635438,430.19963,0.96471978,438.02193,0.97322429,445.94164,0.98188388,453.96102,0.99071327,462.08176,0.98170624,332.01149,0.98697893,333.49673
-1.87E-05,300,0.65239295,300.57737,0.75266778,306.61701,0.88079234,377.06378,0.91427488,411.58943,0.94867603,447.99184,0.467057,300.00283,0.55813681,300.04819,0.78514374,313.77892,0.8052581,321.18139,0.82041301,328.76494,0.83295646,336.5002,0.84394151,344.37112,0.85393303,352.36794,0.86326997,360.48463,0.87217283,368.71601,0.88923866,385.52475,0.90851357,322.31928,0.91564502,324.34746,0.92269335,420.50981,0.93121335,429.54831,0.93992018,420.79207,0.95766956,457.40224,0.96686783,466.94219,0.97629121,476.61545,0.98595893,486.42603,0.99588925,496.37742,0.98245081,339.19275,0.98789801,341.01687
-1.87E-05,300,0.65226497,300.69585,0.75168786,307.9666,0.87758619,392.7981,0.91246897,434.5427,0.94979204,478.77691,0.46705652,300.00369,0.55812253,300.05844,0.78346066,316.58406,0.80302787,325.48724,0.8177537,334.61603,0.82997649,343.92418,0.84073795,353.39807,0.85059746,363.0272,0.85989087,372.80552,0.86883702,382.72831,0.88624893,403.01275,0.90774612,327.12764,0.91494779,329.59589,0.92146768,445.35857,0.93066561,456.3327,0.93988096,427.94191,0.95977983,490.25731,0.97008689,501.9173,0.98073884,513.76356,0.99176055,525.80322,1.0031764,538.04308,0.98336825,347.8331,0.98902861,350.06729
-1.87E-05,300,0.65211143,300.838,0.75051333,309.58423,0.87383826,411.6579,0.91059741,462.13832,0.95184203,515.97645,0.46705487,300.00473,0.55810538,300.07074,0.78144538,319.94342,0.80035578,330.64898,0.8145738,341.62148,0.82641775,352.81206,0.8369191,364.20529,0.84663157,375.79038,0.85588812,387.56188,0.86490674,399.51631,0.88279497,423.98661,0.90683058,332.89959,0.914118,335.89728,0.9203712,475.26484,0.9304768,488.60714,0.93986416,436.5321,0.96317533,530.02265,0.9749892,544.3237,0.98731776,558.89157,1.0001947,573.73898,1.0136528,588.87868,0.9845056,358.23375,0.99042754,360.96491
-1.87E-05,300,0.65192723,301.00854,0.74910591,311.52258,0.86950229,434.25732,0.90883108,495.33883,0.95544487,561.04351,0.46705277,300.00598,0.55808482,300.08549,0.77903091,323.96902,0.79715966,336.8275,0.8107751,350.0045,0.82217398,363.4463,0.8323766,377.13618,0.84193121,391.06393,0.85116886,405.22588,0.8603081,419.62117,0.8788677,449.13819,0.90574017,339.8283,0.91313279,343.46325,0.91966182,511.29737,0.93100767,527.55664,0.93988947,446.85549,0.9686315,578.30605,0.98252353,595.93983,0.9971616,613.9658,1.0125788,632.40571,1.0287934,651.28083,0.98592656,370.76007,0.99217136,374.09462
