Ec X,Ec Y,Ev X,Ev Y,Efn X,Efn Y,Efp X,Efp Y
0,-10.032391,0,-11.15655,0,-10,0,-10
0.00048046926,-10.011865,0.00048046926,-11.136024,0.00048046926,-9.9794741,0.00048046926,-9.9794741
0.0038437501,-9.8681836,0.0038437501,-10.992343,0.0038437501,-9.8357927,0.0038437501,-9.8357927
0.0043242192,-9.8476577,0.0043242192,-10.971817,0.0043242192,-9.8152668,0.0043242192,-9.8152668
0.0076875002,-9.7039763,0.0076875002,-10.828136,0.0076875002,-9.6715855,0.0076875002,-9.6715855
0.0081679691,-9.6834504,0.0081679691,-10.80761,0.0081679691,-9.6510595,0.0081679691,-9.6510595
0.01153125,-9.5397691,0.01153125,-10.663928,0.01153125,-9.5073782,0.01153125,-9.5073782
0.012011719,-9.5192431,0.012011719,-10.643402,0.012011719,-9.4868523,0.012011719,-9.4868523
0.015375,-9.3755618,0.015375,-10.499721,0.015375,-9.3431709,0.015375,-9.3431709
0.015855469,-9.3550359,0.015855469,-10.479195,0.015855469,-9.322645,0.015855469,-9.322645
0.01921875,-9.2113545,0.01921875,-10.335514,0.01921875,-9.1789637,0.01921875,-9.1789637
0.01969922,-9.1908286,0.01969922,-10.314988,0.01969922,-9.1584377,0.01969922,-9.1584377
0.023062499,-9.0471473,0.023062499,-10.171306,0.023062499,-9.0147564,0.023062499,-9.0147564
0.023542969,-9.0266213,0.023542969,-10.150781,0.023542969,-8.9942305,0.023542969,-8.9942304
0.02690625,-8.8829399,0.02690625,-10.007099,0.02690625,-8.8505491,0.02690625,-8.8505488
0.027386719,-8.8624138,0.027386719,-9.986573,0.027386719,-8.830023,0.027386719,-8.8300223
0.030750001,-8.7187312,0.030750001,-9.8428904,0.030750001,-8.6863406,0.030750001,-8.6863365
0.030990236,-8.7084672,0.030990236,-9.8326264,0.030990236,-8.6760769,0.030990236,-8.676069
0.032671876,-8.6366194,0.032671876,-9.7607786,0.032671876,-8.604231,0.032671876,-8.6041966
0.032912109,-8.6263485,0.032912109,-9.7505077,0.032912109,-8.5939622,0.032912109,-8.593891
0.03459375,-8.5544526,0.03459375,-9.6786119,0.03459375,-8.5220809,0.03459375,-8.5217514
0.034713868,-8.5492974,0.034713868,-9.6734566,0.034713868,-8.5169357,0.034713868,-8.5165006
0.035554688,-8.5132107,0.035554688,-9.6373699,0.035554688,-8.4809189,0.035554688,-8.4797451
0.035614748,-8.5106075,0.035614748,-9.6347667,0.035614748,-8.4783347,0.035614748,-8.4770302
0.036035158,-8.4923845,0.036035158,-9.6165437,0.036035158,-8.4602451,0.036035158,-8.458026
0.036155276,-8.4870944,0.036155276,-9.6112536,0.036155276,-8.4550292,0.036155276,-8.4523418
0.036515623,-8.471222,0.036515623,-9.5953813,0.036515623,-8.4393816,0.036515623,-8.4352892
0.036635742,-8.4657887,0.036635742,-9.589948,0.036635742,-8.4341054,0.036635742,-8.4292821
0.03675586,-8.4603555,0.03675586,-9.5845147,0.03675586,-8.4288291,0.03675586,-8.423275
0.036815919,-8.457581,0.036815919,-9.5817402,0.036815919,-8.4261644,0.036815919,-8.4201598
0.036875978,-8.4548071,0.036875978,-9.5789663,0.036875978,-8.4234996,0.036875978,-8.4170446
