N1_contact TotalCurrent(n1_sweep_n294_des) X,N1_contact TotalCurrent(n1_sweep_n294_des) Y
0,-6.3807565e-19
-0.0001,-1.2601994e-17
-0.0002284,-3.0627631e-17
-0.00039532,-5.0697104e-17
-0.000612316,-8.071657e-17
-0.0008944108,-1.1482371e-16
-0.001261134,-1.7100427e-16
-0.0017378743,-2.2715493e-16
-0.0023538226,-2.9122171e-16
-0.0031545555,-4.0757082e-16
-0.0041891023,-5.7985125e-16
-0.0055340132,-7.0810445e-16
-0.0072608788,-1.1009995e-15
-0.0095058041,-1.1911277e-15
-0.012388288,-1.6842156e-15
-0.016135518,-1.9687824e-15
-0.02094696,-2.5121038e-15
-0.027124852,-3.1975566e-15
-0.035007842,-4.0613515e-15
-0.045066538,-5.1757506e-15
-0.057901433,-6.6690072e-15
-0.07427876,-8.7835899e-15
-0.095176229,-1.2024536e-14
-0.12200858,-1.7532405e-14
-0.15646132,-2.7994931e-14
-0.20069863,-5.0595571e-14
-0.25749934,-1.0752229e-13
-0.33043146,-2.8109625e-13
-0.42407629,-9.5529017e-13
-0.54431626,-4.5148811e-12
-0.69870438,-3.2165781e-11
-0.89693873,-3.7771558e-10
-1.1514716,-7.8518954e-09
-1.4782919,-2.6114115e-07
-1.8953145,-5.6964626e-06
-2.3953145,-3.3042393e-05
-2.8953145,-8.2311689e-05
-3.3953145,-0.00014860403
-3.8953145,-0.00022917859
-4.3953145,-0.00032241557
-4.8953145,-0.00042714868
-5.3953145,-0.0005424411
-5.8953145,-0.0006675025
-6.3953145,-0.00080164816
-6.8953145,-0.00094427417
-7.3953145,-0.0010948407
-7.8953145,-0.0012528601
-8.3953145,-0.0014178875
-8.8953145,-0.0015895142
-9.3953145,-0.0017673613
-9.8953145,-0.0019510755
-10,-0.0019902514
-10,-0.0019902514
-9.9998,-0.0019901763
-9.99954,-0.0019900787
-9.999202,-0.0019899519
-9.9987626,-0.0019897869
-9.9981914,-0.0019895725
-9.9974488,-0.0019892938
-9.9964834,-0.0019889315
-9.9952285,-0.0019884606
-9.993597,-0.0019878483
-9.9914761,-0.0019870526
-9.9887189,-0.0019860182
-9.9851346,-0.0019846738
-9.980475,-0.0019829264
-9.9744175,-0.0019806556
-9.9665427,-0.0019777047
-9.9563056,-0.0019738706
-9.9429972,-0.0019688897
-9.9256964,-0.0019624203
-9.9032053,-0.00195402
-9.8739669,-0.0019431164
-9.835957,-0.00192897
-9.7868482,-0.0019107406
-9.7233996,-0.0018872683
-9.641424,-0.0018570768
-9.5355115,-0.0018182964
-9.3986726,-0.0017685759
-9.2218767,-0.0017049884
-8.9934564,-0.0016239435
-8.6983374,-0.0015211382
-8.3170437,-0.0013916082
-7.8244122,-0.0012300159
-7.1879323,-0.0010314597
-6.3656003,-0.00079343345
-5.3656003,-0.00053530919
-5,-0.00045044182
-4,-0.00024769514
-3,-9.490026e-05
-2,-9.3375978e-06
-1,-1.3174596e-09
0,-6.3807565e-19
1,4.1037556e-06
2,9.0193211e-05
3,0.00025509594
4,0.00047984076
5,0.00075344477
6,0.0010681193
7,0.0014179012
8,0.0017980016
9,0.002204424
10,0.0026337155

