N1_contact TotalCurrent(n297_TLPn297_des) X,N1_contact TotalCurrent(n297_TLPn297_des) Y,N1_contact TotalCurrent(n310_TLPn310_des) X,N1_contact TotalCurrent(n310_TLPn310_des) Y,N1_contact TotalCurrent(n323_TLPn323_des) X,N1_contact TotalCurrent(n323_TLPn323_des) Y,N1_contact TotalCurrent(n336_TLPn336_des) X,N1_contact TotalCurrent(n336_TLPn336_des) Y,N1_contact TotalCurrent(n349_TLPn349_des) X,N1_contact TotalCurrent(n349_TLPn349_des) Y,N1_contact TotalCurrent(n362_TLPn362_des) X,N1_contact TotalCurrent(n362_TLPn362_des) Y,N1_contact TotalCurrent(n375_TLPn375_des) X,N1_contact TotalCurrent(n375_TLPn375_des) Y,N1_contact TotalCurrent(n388_TLPn388_des) X,N1_contact TotalCurrent(n388_TLPn388_des) Y,N1_contact TotalCurrent(n401_TLPn401_des) X,N1_contact TotalCurrent(n401_TLPn401_des) Y,N1_contact TotalCurrent(n414_TLPn414_des) X,N1_contact TotalCurrent(n414_TLPn414_des) Y,N1_contact TotalCurrent(n427_TLPn427_des) X,N1_contact TotalCurrent(n427_TLPn427_des) Y,N1_contact TotalCurrent(n440_TLPn440_des) X,N1_contact TotalCurrent(n440_TLPn440_des) Y,N1_contact TotalCurrent(n453_TLPn453_des) X,N1_contact TotalCurrent(n453_TLPn453_des) Y,N1_contact TotalCurrent(n466_TLPn466_des) X,N1_contact TotalCurrent(n466_TLPn466_des) Y,N1_contact TotalCurrent(n479_TLPn479_des) X,N1_contact TotalCurrent(n479_TLPn479_des) Y,N1_contact TotalCurrent(n492_TLPn492_des) X,N1_contact TotalCurrent(n492_TLPn492_des) Y,N1_contact Temperature(n297_TLPn297_des) X,N1_contact Temperature(n297_TLPn297_des) Y,N1_contact Temperature(n310_TLPn310_des) X,N1_contact Temperature(n310_TLPn310_des) Y,N1_contact Temperature(n323_TLPn323_des) X,N1_contact Temperature(n323_TLPn323_des) Y,N1_contact Temperature(n336_TLPn336_des) X,N1_contact Temperature(n336_TLPn336_des) Y,N1_contact Temperature(n349_TLPn349_des) X,N1_contact Temperature(n349_TLPn349_des) Y,N1_contact Temperature(n362_TLPn362_des) X,N1_contact Temperature(n362_TLPn362_des) Y,N1_contact Temperature(n375_TLPn375_des) X,N1_contact Temperature(n375_TLPn375_des) Y,N1_contact Temperature(n388_TLPn388_des) X,N1_contact Temperature(n388_TLPn388_des) Y,N1_contact Temperature(n401_TLPn401_des) X,N1_contact Temperature(n401_TLPn401_des) Y,N1_contact Temperature(n414_TLPn414_des) X,N1_contact Temperature(n414_TLPn414_des) Y,N1_contact Temperature(n427_TLPn427_des) X,N1_contact Temperature(n427_TLPn427_des) Y,N1_contact Temperature(n440_TLPn440_des) X,N1_contact Temperature(n440_TLPn440_des) Y,N1_contact Temperature(n453_TLPn453_des) X,N1_contact Temperature(n453_TLPn453_des) Y,N1_contact Temperature(n466_TLPn466_des) X,N1_contact Temperature(n466_TLPn466_des) Y,N1_contact Temperature(n479_TLPn479_des) X,N1_contact Temperature(n479_TLPn479_des) Y,N1_contact Temperature(n492_TLPn492_des) X,N1_contact Temperature(n492_TLPn492_des) Y
0.003914265,3.22E-11,0.03927574,3.22E-10,0.73580427,6.43E-08,0.75548717,9.65E-08,0.76996653,1.29E-07,0.78155419,1.61E-07,0.79129024,1.93E-07,0.79973439,2.25E-07,0.80722344,2.57E-07,0.81397622,2.89E-07,0.82583237,3.54E-07,0.76999389,1.29E-07,0.77413031,1.40E-07,0.84516269,4.82E-07,0.84935995,5.14E-07,0.8533633,5.47E-07,0.003914265,300,0.03927574,300,0.73580427,300,0.75548717,300,0.76996653,300,0.78155419,300,0.79129024,300,0.79973439,300,0.80722344,300,0.81397622,300,0.82583237,300,0.76999389,300,0.77413031,300,0.84516269,300,0.84935995,300,0.8533633,300
0.005913594,3.96E-11,0.059222273,3.96E-10,0.74583017,7.92E-08,0.76591931,1.19E-07,0.7807613,1.58E-07,0.79268192,1.98E-07,0.80272921,2.37E-07,0.81146786,2.77E-07,0.81923801,3.17E-07,0.82626085,3.56E-07,0.83863052,4.35E-07,0.77830515,1.52E-07,0.78252428,1.64E-07,0.85891002,5.94E-07,0.86333226,6.33E-07,0.86755656,6.73E-07,0.005913594,300,0.059222273,300,0.74583017,300,0.76591931,300,0.7807613,300,0.79268192,300,0.80272921,300,0.81146786,300,0.81923801,300,0.82626085,300,0.83863052,300,0.77830515,300,0.78252428,300,0.85891002,300,0.86333226,300,0.86755656,300
0.008852884,4.85E-11,0.088507471,4.85E-10,0.75580087,9.70E-08,0.77634746,1.45E-07,0.79159614,1.94E-07,0.80388999,2.42E-07,0.81428637,2.91E-07,0.82335565,3.39E-07,0.83144173,3.88E-07,0.83876843,4.36E-07,0.85171685,5.33E-07,0.78695832,1.78E-07,0.79127316,1.93E-07,0.87306945,7.27E-07,0.87774664,7.76E-07,0.88222157,8.24E-07,0.008852884,300,0.088507471,300,0.75580087,300,0.77634746,300,0.79159614,300,0.80388999,300,0.81428637,300,0.82335565,300,0.83144173,300,0.83876843,300,0.85171685,300,0.78695832,300,0.79127316,300,0.87306945,300,0.87774664,300,0.88222157,300
0.01315741,5.92E-11,0.13130258,5.92E-10,0.76578209,1.18E-07,0.78684134,1.78E-07,0.80254569,2.37E-07,0.81525822,2.96E-07,0.82604683,3.55E-07,0.83548821,4.14E-07,0.84393042,4.74E-07,0.85160017,5.33E-07,0.86520344,6.51E-07,0.79596578,2.10E-07,0.80039048,2.28E-07,0.88777503,8.88E-07,0.89274273,9.47E-07,0.89750357,1.01E-06,0.01315741,300,0.13130258,300,0.76578209,300,0.78684134,300,0.80254569,300,0.81525822,300,0.82604683,300,0.83548821,300,0.84393042,300,0.85160017,300,0.86520344,300,0.79596578,300,0.80039048,300,0.88777503,300,0.89274273,300,0.89750357,300
0.019441498,7.20E-11,0.19354787,7.20E-10,0.77582976,1.44E-07,0.79746283,2.16E-07,0.81367816,2.88E-07,0.82686131,3.60E-07,0.83809183,4.32E-07,0.84795339,5.04E-07,0.85679858,5.76E-07,0.86485731,6.48E-07,0.87920512,7.92E-07,0.80534422,2.49E-07,0.80989445,2.70E-07,0.90316963,1.08E-06,0.9084706,1.15E-06,0.91355988,1.22E-06,0.019441498,300,0.19354787,300,0.77582976,300,0.79746283,300,0.81367816,300,0.82686131,300,0.83809183,300,0.84795339,300,0.85679858,300,0.86485731,300,0.87920512,300,0.80534422,300,0.80989445,300,0.90316963,300,0.9084706,300,0.91355988,300
0.028591606,8.74E-11,0.28351497,8.74E-10,0.78599387,1.75E-07,0.80826955,2.62E-07,0.82505907,3.50E-07,0.83877279,4.37E-07,0.85050304,5.25E-07,0.86084111,6.12E-07,0.87014454,7.00E-07,0.87864667,7.87E-07,0.89384625,9.62E-07,0.81511541,2.95E-07,0.81980867,3.20E-07,0.91941454,1.31E-06,0.92510114,1.40E-06,0.9305712,1.49E-06,0.028591606,300,0.28351497,300,0.78599387,300,0.80826955,300,0.82505907,300,0.83877279,300,0.85050304,300,0.86084111,300,0.87014454,300,0.87864667,300,0.89384625,300,0.81511541,300,0.81980867,300,0.91941454,300,0.92510114,300,0.9305712,300
0.037116693,1.00E-10,0.36598922,1.00E-09,0.79319094,2.00E-07,0.81596161,3.00E-07,0.83319512,4.00E-07,0.84732052,5.00E-07,0.85943974,6.00E-07,0.87014975,7.00E-07,0.87981182,8.00E-07,0.88866187,9.00E-07,0.9045321,1.10E-06,0.82530696,3.51E-07,0.830163,3.80E-07,0.93137127,1.50E-06,0.93736499,1.60E-06,0.94313886,1.70E-06,0.037116693,300,0.36598922,300,0.79319094,300,0.81596161,300,0.83319512,300,0.84732052,300,0.85943974,300,0.87014975,300,0.87981182,300,0.88866187,300,0.9045321,300,0.82530696,300,0.830163,300,0.93137127,300,0.93736499,300,0.94313886,300
0.052168205,1.00E-10,0.48650442,1.00E-09,0.79314283,2.00E-07,0.81588171,3.00E-07,0.83309199,4.00E-07,0.84720011,5.00E-07,0.8593069,6.00E-07,0.8700087,7.00E-07,0.87966638,8.00E-07,0.88851558,9.00E-07,0.904394,1.10E-06,0.83595315,4.17E-07,0.84099441,4.52E-07,0.93128554,1.50E-06,0.93729933,1.60E-06,0.94309597,1.70E-06,0.052168205,300,0.48650442,300,0.79314283,300,0.81588171,300,0.83309199,300,0.84720011,300,0.8593069,300,0.8700087,300,0.87966638,300,0.88851558,300,0.904394,300,0.83595315,300,0.84099441,300,0.93128554,300,0.93729933,300,0.94309597,300
0.070212733,1.00E-10,0.54220368,1.00E-09,0.79305111,2.00E-07,0.8157597,3.00E-07,0.83294619,4.00E-07,0.84703608,5.00E-07,0.8591296,6.00E-07,0.86982271,7.00E-07,0.87947598,8.00E-07,0.88832481,9.00E-07,0.90421394,1.10E-06,0.8470959,4.97E-07,0.85234805,5.38E-07,0.93116923,1.50E-06,0.93720726,1.60E-06,0.9430313,1.70E-06,0.070212733,300,0.54220368,300,0.79305111,300,0.8157597,300,0.83294619,300,0.84703608,300,0.8591296,300,0.86982271,300,0.87947598,300,0.88832481,300,0.90421394,300,0.8470959,300,0.85234805,300,0.93116923,300,0.93720726,300,0.9430313,300
0.091839737,1.00E-10,0.55545651,1.00E-09,0.79294094,2.00E-07,0.81561321,3.00E-07,0.83277114,4.00E-07,0.84683914,5.00E-07,0.85891675,6.00E-07,0.86959943,7.00E-07,0.8792474,8.00E-07,0.8880958,9.00E-07,0.90399781,1.10E-06,0.85878605,5.93E-07,0.86427869,6.42E-07,0.93102976,1.50E-06,0.93709694,1.60E-06,0.94295397,1.70E-06,0.091839737,300,0.55545651,300,0.79294094,300,0.81561321,300,0.83277114,300,0.84683914,300,0.85891675,300,0.86959943,300,0.8792474,300,0.8880958,300,0.90399781,300,0.85878605,300,0.86427869,300,0.93102976,300,0.93709694,300,0.94295397,300
0.11775103,1.00E-10,0.55780592,1.00E-09,0.79280875,2.00E-07,0.81543743,3.00E-07,0.83256111,4.00E-07,0.84660287,5.00E-07,0.85866139,6.00E-07,0.86933157,7.00E-07,0.87897321,8.00E-07,0.88782112,9.00E-07,0.90373866,1.10E-06,0.87108509,7.08E-07,0.87685266,7.67E-07,0.93086295,1.50E-06,0.93696525,1.60E-06,0.94286203,1.70E-06,0.11775103,300,0.55780592,300,0.79280875,300,0.81543743,300,0.83256111,300,0.84660287,300,0.85866139,300,0.86933157,300,0.87897321,300,0.88782112,300,0.90373866,300,0.87108509,300,0.87685266,300,0.93086295,300,0.93696525,300,0.94286203,300
0.14877868,1.00E-10,0.55815172,1.00E-09,0.79265014,2.00E-07,0.81522654,3.00E-07,0.83230914,4.00E-07,0.8463194,5.00E-07,0.85835504,6.00E-07,0.86901026,7.00E-07,0.87864434,8.00E-07,0.8874917,9.00E-07,0.90342803,1.10E-06,0.88406761,8.46E-07,0.89015064,9.16E-07,0.93066364,1.50E-06,0.93680828,1.60E-06,0.94275299,1.70E-06,0.14877868,300,0.55815172,300,0.79265014,300,0.81522654,300,0.83230914,300,0.8463194,300,0.85835504,300,0.86901026,300,0.87864434,300,0.8874917,300,0.90342803,300,0.88406761,300,0.89015064,300,0.93066364,300,0.93680828,300,0.94275299,300
0.18589953,1.00E-10,0.55819358,1.00E-09,0.79245984,2.00E-07,0.81497352,3.00E-07,0.83200684,4.00E-07,0.84597935,5.00E-07,0.85798756,6.00E-07,0.86862486,7.00E-07,0.87824992,8.00E-07,0.88709669,9.00E-07,0.90305576,1.10E-06,0.89782504,1.01E-06,0.90427192,1.10E-06,0.93042572,1.50E-06,0.93662146,1.60E-06,0.94262402,1.70E-06,0.18589953,300,0.55819358,300,0.79245984,300,0.81497352,300,0.83200684,300,0.84597935,300,0.85798756,300,0.86862486,300,0.87824992,300,0.88709669,300,0.90305576,300,0.89782504,300,0.90427192,300,0.93042572,300,0.93662146,300,0.94262402,300
0.23022398,1.00E-10,0.55819627,1.00E-09,0.79223153,2.00E-07,0.81466997,3.00E-07,0.83164419,4.00E-07,0.84557143,5.00E-07,0.85754679,6.00E-07,0.86816264,7.00E-07,0.87777695,8.00E-07,0.88662313,9.00E-07,0.90260977,1.10E-06,0.91175895,1.20E-06,0.91860707,1.30E-06,0.93014206,1.50E-06,0.93639955,1.60E-06,0.94247203,1.70E-06,0.23022398,300,0.55819627,300,0.79223153,300,0.81466997,300,0.83164419,300,0.84557143,300,0.85754679,300,0.86816264,300,0.87777695,300,0.88662313,300,0.90260977,300,0.91175895,300,0.91860707,300,0.93014206,300,0.93639955,300,0.94247203,300
0.28282342,1.00E-10,0.55819437,1.00E-09,0.79195761,2.00E-07,0.81430582,3.00E-07,0.83120916,4.00E-07,0.84508215,5.00E-07,0.85701814,6.00E-07,0.86760836,7.00E-07,0.87720989,8.00E-07,0.8860555,9.00E-07,0.90207566,1.10E-06,0.9116444,1.20E-06,0.91850298,1.30E-06,0.9298044,1.50E-06,0.93613662,1.60E-06,0.94229373,1.70E-06,0.28282342,300,0.55819437,300,0.79195761,300,0.81430582,300,0.83120916,300,0.84508215,300,0.85701814,300,0.86760836,300,0.87720989,300,0.8860555,300,0.90207566,300,0.9116444,300,0.91850298,300,0.9298044,300,0.93613662,300,0.94229373,300
0.34345623,1.00E-10,0.55819163,1.00E-09,0.79162899,2.00E-07,0.81386899,3.00E-07,0.83068736,4.00E-07,0.84449532,5.00E-07,0.85638419,6.00E-07,0.86694377,7.00E-07,0.87653015,8.00E-07,0.88537529,9.00E-07,0.90143633,1.10E-06,0.91149281,1.20E-06,0.91836418,1.30E-06,0.92940321,1.50E-06,0.93582606,1.60E-06,0.94208588,1.70E-06,0.34345623,300,0.55819163,300,0.79162899,300,0.81386899,300,0.83068736,300,0.84449532,300,0.85638419,300,0.86694377,300,0.87653015,300,0.88537529,300,0.90143633,300,0.91149281,300,0.91836418,300,0.92940321,300,0.93582606,300,0.94208588,300
0.40385357,1.00E-10,0.55818831,1.00E-09,0.79123479,2.00E-07,0.81334502,3.00E-07,0.83006153,4.00E-07,0.8437916,5.00E-07,0.85562407,6.00E-07,0.8661471,7.00E-07,0.87571555,8.00E-07,0.88456049,9.00E-07,0.90067156,1.10E-06,0.91131079,1.20E-06,0.91819753,1.30E-06,0.92892784,1.50E-06,0.93546087,1.60E-06,0.94184564,1.70E-06,0.40385357,300,0.55818831,300,0.79123479,300,0.81334502,300,0.83006153,300,0.8437916,300,0.85562407,300,0.8661471,300,0.87571555,300,0.88456049,300,0.90067156,300,0.91131079,300,0.91819753,300,0.92892784,300,0.93546087,300,0.94184564,300
0.44388725,1.00E-10,0.55818433,1.00E-09,0.79076193,2.00E-07,0.81271658,3.00E-07,0.82931103,4.00E-07,0.84294781,5.00E-07,0.85471286,6.00E-07,0.86519235,7.00E-07,0.87473969,8.00E-07,0.88358489,9.00E-07,0.89975723,1.10E-06,0.91109258,1.20E-06,0.91799784,1.30E-06,0.92836656,1.50E-06,0.93503401,1.60E-06,0.94157129,1.70E-06,0.44388725,300,0.55818433,300,0.79076193,300,0.81271658,300,0.82931103,300,0.84294781,300,0.85471286,300,0.86519235,300,0.87473969,300,0.88358489,300,0.89975723,300,0.91109258,300,0.91799784,300,0.92836656,300,0.93503401,300,0.94157129,300
0.46045851,1.00E-10,0.55817954,1.00E-09,0.79019477,2.00E-07,0.81196293,3.00E-07,0.82841114,4.00E-07,0.84193628,5.00E-07,0.8536208,6.00E-07,0.86404852,7.00E-07,0.87357118,8.00E-07,0.88241752,9.00E-07,0.89866542,1.10E-06,0.91083108,1.20E-06,0.91775864,1.30E-06,0.92770706,1.50E-06,0.93453918,1.60E-06,0.94126346,1.70E-06,0.46045851,300,0.55817954,300,0.79019477,300,0.81196293,300,0.82841114,300,0.84193628,300,0.8536208,300,0.86404852,300,0.87357118,300,0.88241752,300,0.89866542,300,0.91083108,300,0.91775864,300,0.92770706,300,0.93453918,300,0.94126346,300
