Ec X,Ec Y,Ev X,Ev Y,Efn X,Efn Y,Efp X,Efp Y
0,0.16760915,0,-0.95655008,0,0.2,0,0.2
0.0019218751,0.16760915,0.0019218751,-0.95655008,0.0019218751,0.2,0.0019218751,0.19605447
0.0038437501,0.16760914,0.0038437501,-0.95655009,0.0038437501,0.2,0.0038437501,0.19210895
0.0057656253,0.16760914,0.0057656253,-0.95655009,0.0057656253,0.19999999,0.0057656253,0.18908928
0.0076875002,0.16760914,0.0076875002,-0.95655009,0.0076875002,0.19999999,0.0076875002,0.18606962
0.0096093751,0.16760914,0.0096093751,-0.95655009,0.0096093751,0.19999999,0.0096093751,0.1836218
0.01153125,0.16760914,0.01153125,-0.95655009,0.01153125,0.19999999,0.01153125,0.18117399
0.013453125,0.16760914,0.013453125,-0.9565501,0.013453125,0.19999999,0.013453125,0.17911456
0.015375,0.16760913,0.015375,-0.9565501,0.015375,0.19999999,0.015375,0.17705512
0.017296875,0.16760913,0.017296875,-0.9565501,0.017296875,0.19999998,0.017296875,0.17527663
0.01921875,0.16760913,0.01921875,-0.9565501,0.01921875,0.19999998,0.01921875,0.17349814
0.021140624,0.16760913,0.021140624,-0.9565501,0.021140624,0.19999998,0.021140624,0.17193221
0.023062499,0.16760913,0.023062499,-0.9565501,0.023062499,0.19999998,0.023062499,0.17036628
0.024984375,0.16760913,0.024984375,-0.95655011,0.024984375,0.19999998,0.024984375,0.1689667
0.02690625,0.16760912,0.02690625,-0.95655011,0.02690625,0.19999998,0.02690625,0.16756711
0.028828125,0.16760912,0.028828125,-0.95655011,0.028828125,0.19999997,0.028828125,0.16630118
0.030750001,0.16760912,0.030750001,-0.95655011,0.030750001,0.19999997,0.030750001,0.16503524
0.031710938,0.16760912,0.031710938,-0.95655011,0.031710938,0.19999997,0.031710938,0.16444461
0.032671876,0.16760912,0.032671876,-0.95655011,0.032671876,0.19999997,0.032671876,0.16385397
0.033632815,0.16760915,0.033632815,-0.95655008,0.033632815,0.19999997,0.033632815,0.16328827
0.03459375,0.16760917,0.03459375,-0.95655006,0.03459375,0.19999997,0.03459375,0.16272256
0.035074219,0.16760942,0.035074219,-0.95654981,0.035074219,0.19999997,0.035074219,0.16244838
0.035554688,0.16760967,0.035554688,-0.95654956,0.035554688,0.19999997,0.035554688,0.1621742
0.035794921,0.16761036,0.035794921,-0.95654887,0.035794921,0.19999997,0.035794921,0.16203918
0.036035158,0.16761106,0.036035158,-0.95654818,0.036035158,0.19999997,0.036035158,0.16190416
0.036275391,0.16761309,0.036275391,-0.95654614,0.036275391,0.19999997,0.036275391,0.16177049
