N1_contact TotalCurrent(n252_TLPn252_des) X,N1_contact TotalCurrent(n252_TLPn252_des) Y,N1_contact TotalCurrent(n253_TLPn253_des) X,N1_contact TotalCurrent(n253_TLPn253_des) Y,N1_contact TotalCurrent(n254_TLPn254_des) X,N1_contact TotalCurrent(n254_TLPn254_des) Y,N1_contact TotalCurrent(n255_TLPn255_des) X,N1_contact TotalCurrent(n255_TLPn255_des) Y,N1_contact TotalCurrent(n256_TLPn256_des) X,N1_contact TotalCurrent(n256_TLPn256_des) Y,N1_contact TotalCurrent(n257_TLPn257_des) X,N1_contact TotalCurrent(n257_TLPn257_des) Y,N1_contact TotalCurrent(n258_TLPn258_des) X,N1_contact TotalCurrent(n258_TLPn258_des) Y,N1_contact Temperature(n252_TLPn252_des) X,N1_contact Temperature(n252_TLPn252_des) Y,N1_contact Temperature(n253_TLPn253_des) X,N1_contact Temperature(n253_TLPn253_des) Y,N1_contact Temperature(n254_TLPn254_des) X,N1_contact Temperature(n254_TLPn254_des) Y,N1_contact Temperature(n255_TLPn255_des) X,N1_contact Temperature(n255_TLPn255_des) Y,N1_contact Temperature(n256_TLPn256_des) X,N1_contact Temperature(n256_TLPn256_des) Y,N1_contact Temperature(n257_TLPn257_des) X,N1_contact Temperature(n257_TLPn257_des) Y,N1_contact Temperature(n258_TLPn258_des) X,N1_contact Temperature(n258_TLPn258_des) Y
-0.000568889,-1.39E-17,0.72358806,1.00E-08,0.82950356,1.00E-07,0.90133807,2.92E-07,0.92692434,3.94E-07,0.95115686,5.06E-07,0.96217233,5.63E-07,-0.000568889,300,0.72358806,300,0.82950356,300,0.90133807,300,0.92692434,300,0.95115686,300,0.96217233,300
-0.000568889,-1.57E-18,0.72376493,1.00E-08,0.82951631,1.00E-07,0.91584619,3.48E-07,0.94400749,4.72E-07,0.97032509,6.06E-07,0.98232704,6.74E-07,-0.000568889,300,0.72376493,300,0.82951631,300,0.91584619,300,0.94400749,300,0.97032509,300,0.98232704,300
-0.000568889,-9.89E-18,0.72376386,1.00E-08,0.82948789,1.00E-07,0.93157565,4.14E-07,0.96258987,5.65E-07,0.99127468,7.26E-07,1.0043938,8.07E-07,-0.000568889,300,0.72376386,300,0.82948789,300,0.93157565,300,0.96258987,300,0.99127468,300,1.0043938,300
-0.000568889,-3.15E-18,0.72375844,1.00E-08,0.82945354,1.00E-07,0.94868385,4.94E-07,0.98287399,6.77E-07,1.0142415,8.70E-07,1.0286236,9.66E-07,-0.000568889,300,0.72375844,300,0.82945354,300,0.94868385,300,0.98287399,300,1.0142415,300,1.0286236,300
-0.000568889,-8.54E-18,0.72375186,1.00E-08,0.82941231,1.00E-07,0.96735157,5.90E-07,1.0050898,8.11E-07,1.0394943,1.04E-06,1.0553036,1.16E-06,-0.000568889,300,0.72375186,300,0.82941231,300,0.96735157,300,1.0050898,300,1.0394943,300,1.0553036,300
-0.000568889,-7.87E-18,0.72374396,1.00E-08,0.82936283,1.00E-07,0.98778669,7.05E-07,1.0295009,9.72E-07,1.0673442,1.25E-06,1.0847686,1.39E-06,-0.000568889,300,0.72374396,300,0.82936283,300,0.98778669,300,1.0295009,300,1.0673442,300,1.0847686,300
-0.000568889,2.73E-17,0.72373449,1.00E-08,0.82930347,1.00E-07,1.0102298,8.43E-07,1.0564146,1.16E-06,1.0981623,1.50E-06,1.1174228,1.66E-06,-0.000568889,300,0.72373449,300,0.82930347,300,1.0102298,300,1.0564146,300,1.0981623,300,1.1174228,300
-0.000568889,5.06E-18,0.72372311,1.00E-08,0.82923225,1.00E-07,1.0337398,1.00E-06,1.0862002,1.40E-06,1.132409,1.80E-06,1.1537762,2.00E-06,-0.000568889,300,0.72372311,300,0.82923225,300,1.0337398,300,1.0862002,300,1.132409,300,1.1537762,300
-0.000568889,-2.52E-17,0.72370947,1.00E-08,0.8291468,1.00E-07,1.0339569,1.00E-06,1.0865965,1.40E-06,1.1328652,1.80E-06,1.1542607,2.00E-06,-0.000568889,300,0.72370947,300,0.8291468,300,1.0339569,300,1.0865965,300,1.1328652,300,1.1542607,300
-0.000568889,2.25E-19,0.7236931,1.00E-08,0.82904428,1.00E-07,1.0341909,1.00E-06,1.0870819,1.40E-06,1.1337129,1.80E-06,1.1553233,2.00E-06,-0.000568889,300,0.7236931,300,0.82904428,300,1.0341909,300,1.0870819,300,1.1337129,300,1.1553233,300
-0.000568889,2.58E-18,0.72367345,1.00E-08,0.82892129,1.00E-07,1.0344711,1.00E-06,1.0876375,1.40E-06,1.1347031,1.80E-06,1.1565716,2.00E-06,-0.000568889,300,0.72367345,300,0.82892129,300,1.0344711,300,1.0876375,300,1.1347031,300,1.1565716,300
-0.000568889,2.14E-18,0.72364987,1.00E-08,0.82877376,1.00E-07,1.0348081,1.00E-06,1.0883046,1.40E-06,1.1358936,1.80E-06,1.1580735,2.00E-06,-0.000568889,300,0.72364987,300,0.82877376,300,1.0348081,300,1.0883046,300,1.1358936,300,1.1580735,300
-0.000568889,-1.20E-17,0.72362158,1.00E-08,0.82859679,1.00E-07,1.0352141,1.00E-06,1.0891077,1.40E-06,1.1373284,1.80E-06,1.1598844,2.00E-06,-0.000568889,300,0.72362158,300,0.82859679,300,1.0352141,300,1.0891077,300,1.1373284,300,1.1598844,300
-0.000568889,1.37E-17,0.72358764,1.00E-08,0.82838452,1.00E-07,1.0357033,1.00E-06,1.0900757,1.40E-06,1.1390594,1.80E-06,1.1620706,2.00E-06,-0.000568889,300,0.72358764,300,0.82838452,300,1.0357033,300,1.0900757,300,1.1390594,300,1.1620706,300
-0.000568888,9.66E-18,0.7235469,1.00E-08,0.82812995,1.00E-07,1.0362935,1.00E-06,1.0912433,1.40E-06,1.1411501,1.80E-06,1.164713,2.00E-06,-0.000568888,300,0.7235469,300,0.82812995,300,1.0362935,300,1.0912433,300,1.1411501,300,1.164713,300
-0.000568888,-2.58E-17,0.72349803,1.00E-08,0.82782467,1.00E-07,1.0370062,1.00E-06,1.0926533,1.40E-06,1.1436786,1.80E-06,1.1679113,2.00E-06,-0.000568888,300,0.72349803,300,0.82782467,300,1.0370062,300,1.0926533,300,1.1436786,300,1.1679113,300
-0.000568888,7.87E-19,0.72343938,1.00E-08,0.82745864,1.00E-07,1.0378679,1.00E-06,1.0943578,1.40E-06,1.146741,1.80E-06,1.1717889,2.00E-06,-0.000568888,300,0.72343938,300,0.82745864,300,1.0378679,300,1.0943578,300,1.146741,300,1.1717889,300
-0.000568888,2.36E-18,0.72336901,1.00E-08,0.82701985,1.00E-07,1.038911,1.00E-06,1.0964218,1.40E-06,1.1504568,1.80E-06,1.1764995,2.00E-06,-0.000568888,300,0.72336901,300,0.82701985,300,1.038911,300,1.0964218,300,1.1504568,300,1.1764995,300
-0.000568887,-2.55E-17,0.72328458,1.00E-08,0.82649396,1.00E-07,1.040176,1.00E-06,1.0989251,1.40E-06,1.154975,1.80E-06,1.1822356,2.00E-06,-0.000568887,300,0.72328458,300,0.82649396,300,1.040176,300,1.0989251,300,1.154975,300,1.1822356,300
-0.000568887,1.06E-17,0.72318327,1.00E-08,0.82586386,1.00E-07,1.0417137,1.00E-06,1.1019674,1.40E-06,1.1604829,1.80E-06,1.1892404,2.00E-06,-0.000568887,300,0.72318327,300,0.82586386,300,1.0417137,300,1.1019674,300,1.1604829,300,1.1892404,300
-0.000568886,-8.76E-18,0.72306173,1.00E-08,0.8251092,1.00E-07,1.0435869,1.00E-06,1.1056737,1.40E-06,1.1672177,1.80E-06,1.1978234,2.00E-06,-0.000568886,300,0.72306173,300,0.8251092,300,1.0435869,300,1.1056737,300,1.1672177,300,1.1978234,300
-0.000568885,2.06E-17,0.72291591,1.00E-08,0.82420593,1.00E-07,1.0458659,1.00E-06,1.1102019,1.40E-06,1.1754824,1.80E-06,1.2004271,2.00E-06,-0.000568885,300,0.72291591,300,0.82420593,300,1.0458659,300,1.1102019,300,1.1754824,300,1.2004271,300
-0.000568885,4.16E-18,0.72274452,1.00E-08,0.82314761,1.00E-07,1.0486699,1.00E-06,1.1157531,1.40E-06,1.1856685,1.80E-06,1.2035748,2.00E-06,-0.000568885,300,0.72274452,300,0.82314761,300,1.0486699,300,1.1157531,300,1.1856685,300,1.2035748,300
-0.000568884,-7.19E-18,0.72257316,1.00E-08,0.82209164,1.00E-07,1.0521197,1.00E-06,1.122586,1.40E-06,1.1982879,1.80E-06,1.2073859,2.00E-06,-0.000568884,300,0.72257316,300,0.82209164,300,1.0521197,300,1.122586,300,1.1982879,300,1.2073859,300
-0.000568883,2.54E-17,0.72240186,1.00E-08,0.82103867,1.00E-07,1.0563831,1.00E-06,1.1310369,1.40E-06,1.2140196,1.80E-06,1.2120083,2.00E-06,-0.000568883,300,0.72240186,300,0.82103867,300,1.0563831,300,1.1310369,300,1.2140196,300,1.2120083,300
-0.000568882,-1.45E-17,0.72223059,1.00E-08,0.81998824,1.00E-07,1.06168,1.00E-06,1.1415488,1.40E-06,1.2337803,1.80E-06,1.2176265,2.00E-06,-0.000568882,300,0.72223059,300,0.81998824,300,1.06168,300,1.1415488,300,1.2337803,300,1.2176265,300
-0.000568882,-2.00E-17,0.7220752,1.00E-08,0.81903682,1.00E-07,1.0683016,1.00E-06,1.1547144,1.40E-06,1.2588333,1.80E-06,1.2244725,2.00E-06,-0.000568882,300,0.7220752,300,0.81903682,300,1.0683016,300,1.1547144,300,1.2588333,300,1.2244725,300
-,-,-,-,-,-,1.07664,1.00E-06,1.1713403,1.40E-06,1.2909638,1.80E-06,1.23284,2.00E-06,-,-,-,-,-,-,1.07664,300,1.1713403,300,1.2909638,300,1.23284,300
-,-,-,-,-,-,1.0872306,1.00E-06,1.192548,1.40E-06,1.3327709,1.80E-06,1.2431048,2.00E-06,-,-,-,-,-,-,1.0872306,300,1.192548,300,1.3327709,300,1.2431048,300
-,-,-,-,-,-,1.1008193,1.00E-06,1.2199358,1.40E-06,1.3881595,1.80E-06,1.2557527,2.00E-06,-,-,-,-,-,-,1.1008193,300,1.2199358,300,1.3881595,300,1.2557527,300
-,-,-,-,-,-,1.1168282,1.00E-06,1.2558465,1.40E-06,1.4628696,1.80E-06,1.2714208,2.00E-06,-,-,-,-,-,-,1.1168282,300,1.2558465,300,1.4628696,300,1.2714208,300
-,-,-,-,-,-,1.1340918,1.00E-06,1.2992201,1.40E-06,1.5502336,1.80E-06,1.2909569,2.00E-06,-,-,-,-,-,-,1.1340918,300,1.2992201,300,1.5502336,300,1.2909569,300
-,-,-,-,-,-,1.15268,1.00E-06,1.3468175,1.40E-06,1.5692225,1.80E-06,1.3155117,2.00E-06,-,-,-,-,-,-,1.15268,300,1.3468175,300,1.5692225,300,1.3155117,300
-,-,-,-,-,-,1.1726398,1.00E-06,1.3961572,1.40E-06,1.5871494,1.80E-06,1.3466808,2.00E-06,-,-,-,-,-,-,1.1726398,300,1.3961572,300,1.5871494,300,1.3466808,300
-,-,-,-,-,-,1.1833548,1.00E-06,1.4332227,1.40E-06,1.5951651,1.80E-06,1.3867375,2.00E-06,-,-,-,-,-,-,1.1833548,300,1.4332227,300,1.5951651,300,1.3867375,300
-,-,-,-,-,-,-,-,1.4339381,1.40E-06,1.5695869,1.80E-06,1.4390082,2.00E-06,-,-,-,-,-,-,-,-,1.4339381,300,1.5695869,300,1.4390082,300
-,-,-,-,-,-,-,-,-,-,1.463844,1.80E-06,1.5083248,2.00E-06,-,-,-,-,-,-,-,-,-,-,1.463844,300,1.5083248,300
-,-,-,-,-,-,-,-,-,-,1.2375455,1.80E-06,1.5988584,2.00E-06,-,-,-,-,-,-,-,-,-,-,1.2375455,300,1.5988584,300
-,-,-,-,-,-,-,-,-,-,0.9119767,1.80E-06,1.6244651,2.00E-06,-,-,-,-,-,-,-,-,-,-,0.9119767,300,1.6244651,300
-,-,-,-,-,-,-,-,-,-,0.76647378,1.80E-06,1.6511125,2.00E-06,-,-,-,-,-,-,-,-,-,-,0.76647378,300,1.6511125,300
-,-,-,-,-,-,-,-,-,-,-,-,1.6694144,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,1.6694144,300
-,-,-,-,-,-,-,-,-,-,-,-,1.6501567,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,1.6501567,300
-,-,-,-,-,-,-,-,-,-,-,-,1.5304189,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,1.5304189,300
-,-,-,-,-,-,-,-,-,-,-,-,1.260345,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,1.260345,300
-,-,-,-,-,-,-,-,-,-,-,-,0.88385649,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.88385649,300
-,-,-,-,-,-,-,-,-,-,-,-,0.74915796,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.74915796,300
-,-,-,-,-,-,-,-,-,-,-,-,0.74643521,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.74643521,300
-,-,-,-,-,-,-,-,-,-,-,-,0.74312699,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.74312699,300
-,-,-,-,-,-,-,-,-,-,-,-,0.73916021,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.73916021,300
-,-,-,-,-,-,-,-,-,-,-,-,0.73796937,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.73796937,300
-,-,-,-,-,-,-,-,-,-,-,-,0.73654052,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.73654052,300
-,-,-,-,-,-,-,-,-,-,-,-,0.73482721,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.73482721,300
-,-,-,-,-,-,-,-,-,-,-,-,0.73277336,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.73277336,300
-,-,-,-,-,-,-,-,-,-,-,-,0.73031185,2.00E-06,-,-,-,-,-,-,-,-,-,-,-,-,0.73031185,300
