Tmax(n101_TLPn101_des) X,Tmax(n101_TLPn101_des) Y,Tmax(n102_TLPn102_des) X,Tmax(n102_TLPn102_des) Y,Tmax(n103_TLPn103_des) X,Tmax(n103_TLPn103_des) Y,Tmax(n104_TLPn104_des) X,Tmax(n104_TLPn104_des) Y,Tmax(n105_TLPn105_des) X,Tmax(n105_TLPn105_des) Y,Tmax(n106_TLPn106_des) X,Tmax(n106_TLPn106_des) Y,Tmax(n107_TLPn107_des) X,Tmax(n107_TLPn107_des) Y,Tmax(n108_TLPn108_des) X,Tmax(n108_TLPn108_des) Y,Tmax(n109_TLPn109_des) X,Tmax(n109_TLPn109_des) Y,Tmax(n298_TLPn298_des) X,Tmax(n298_TLPn298_des) Y,Tmax(n311_TLPn311_des) X,Tmax(n311_TLPn311_des) Y,Tmax(n324_TLPn324_des) X,Tmax(n324_TLPn324_des) Y,Tmax(n337_TLPn337_des) X,Tmax(n337_TLPn337_des) Y,Tmax(n350_TLPn350_des) X,Tmax(n350_TLPn350_des) Y,Tmax(n363_TLPn363_des) X,Tmax(n363_TLPn363_des) Y,Tmax(n376_TLPn376_des) X,Tmax(n376_TLPn376_des) Y,Tmax(n389_TLPn389_des) X,Tmax(n389_TLPn389_des) Y,Tmax(n402_TLPn402_des) X,Tmax(n402_TLPn402_des) Y,Tmax(n415_TLPn415_des) X,Tmax(n415_TLPn415_des) Y,Tmax(n428_TLPn428_des) X,Tmax(n428_TLPn428_des) Y,Tmax(n441_TLPn441_des) X,Tmax(n441_TLPn441_des) Y,Tmax(n454_TLPn454_des) X,Tmax(n454_TLPn454_des) Y,Tmax(n467_TLPn467_des) X,Tmax(n467_TLPn467_des) Y,Tmax(n480_TLPn480_des) X,Tmax(n480_TLPn480_des) Y,Tmax(n493_TLPn493_des) X,Tmax(n493_TLPn493_des) Y,Tmax(n506_TLPn506_des) X,Tmax(n506_TLPn506_des) Y,Tmax(n519_TLPn519_des) X,Tmax(n519_TLPn519_des) Y,Tmax(n532_TLPn532_des) X,Tmax(n532_TLPn532_des) Y,Tmax(n545_TLPn545_des) X,Tmax(n545_TLPn545_des) Y,Tmax(n558_TLPn558_des) X,Tmax(n558_TLPn558_des) Y,Tmax(n571_TLPn571_des) X,Tmax(n571_TLPn571_des) Y,Tmax(n584_TLPn584_des) X,Tmax(n584_TLPn584_des) Y
-2.36E-05,300,0.000748579,300,0.00769711,300,0.077045295,300.00003,0.10777397,300.00005,0.13843721,300.00006,0.15374244,300.00006,0.18429614,300.00008,0.21476835,300.00009,-1.59E-05,300,5.36E-05,300,0.015415098,300.00001,0.023130206,300.00001,0.030842298,300.00001,0.038551255,300.00002,0.046256963,300.00002,0.053959319,300.00002,0.061658222,300.00003,0.069353579,300.00003,0.084733282,300.00004,0.092417449,300.00004,0.10009771,300.00004,0.11544614,300.00005,0.12311413,300.00005,0.13077785,300.00005,0.1460921,300.00006,0.16138811,300.00007,0.16902903,300.00007,0.17666507,300.00007,0.19192212,300.00008,0.19954289,300.00008,0.20715835,300.00009
-2.36E-05,300,0.002786915,300,0.028065042,300.00001,0.27844531,300.00008,0.38759496,300.0001,0.49394625,300.00013,0.54430347,300.00016,0.25545908,300.0001,0.67429485,300.00085,4.50E-06,300,0.000257459,300,0.056112838,300.00002,0.084114581,300.00002,0.1120658,300.00003,0.13996216,300.00004,0.16779911,300.00005,0.19557171,300.00006,0.22327452,300.00006,0.2509014,300.00007,0.30589805,300.00008,0.33324968,300.00009,0.36048764,300.0001,0.41454707,300.00011,0.44130567,300.00012,0.46780771,300.00013,0.5195411,300.00015,0.56781776,300.00019,0.2343753,300.00009,0.60917194,300.00028,0.64117052,300.00045,0.65388531,300.00056,0.2869922,300.00011
-2.36E-05,300,0.006833302,300,0.068438024,300.00001,0.62959386,300.00033,0.70698646,300.00185,0.73899665,300.00387,0.74981063,300.00494,0.36336888,300.00013,0.74140961,300.00231,4.50E-05,300,0.000662176,300,0.13661455,300.00003,0.20443974,300.00004,0.27183603,300.00005,0.33869649,300.00006,0.40484093,300.00007,0.46982658,300.00008,0.5321544,300.0001,0.58738255,300.00017,0.65885628,300.00061,0.67947559,300.00097,0.69486813,300.00139,0.71692519,300.00233,0.72532906,300.00283,0.73259928,300.00334,0.74469506,300.0044,0.6770357,300.0005,0.33362098,300.00012,0.70568844,300.00092,0.72413973,300.00145,0.73090563,300.00173,0.407706,300.00014
-2.36E-05,300,0.013992158,300,0.13963177,300.00002,0.74225339,300.00475,0.74259604,300.00332,0.77764772,300.01239,0.78326684,300.01431,0.52209192,300.00017,0.76682916,300.00488,0.000116593,300,0.001378366,300,0.27779185,300.00003,0.41355263,300.00004,0.54208989,300.00007,0.63360203,300.00034,0.67848586,300.00101,0.70378459,300.00186,0.72079683,300.0028,0.73314573,300.00378,0.71658087,300.0015,0.72779378,300.0021,0.73604909,300.00271,0.76776338,300.00952,0.77129899,300.01047,0.77457942,300.01143,0.78053553,300.01335,0.73898315,300.00211,0.48061046,300.00015,0.75056745,300.00292,0.75842011,300.00372,0.76154367,300.00411,0.58167068,300.00021
-2.36E-05,300,0.02589568,300,0.25716475,300.00001,0.76565933,300.01168,0.75664072,300.00533,0.79544029,300.02448,0.8009845,300.02773,0.6944039,300.00082,0.77848973,300.00804,0.000235738,300,0.002569725,300,0.50496291,300.00002,0.65706483,300.00062,0.70427193,300.00208,0.72610618,300.0037,0.73838235,300.00529,0.74717457,300.00689,0.75428341,300.00849,0.76034363,300.01008,0.7413965,300.00312,0.74743512,300.00386,0.7523732,300.0046,0.78603399,300.01964,0.78933873,300.02125,0.79246732,300.02286,0.79827461,300.0261,0.76168063,300.00466,0.66432125,300.00046,0.7675268,300.00566,0.77233741,300.00662,0.77449966,300.0071,0.72473563,300.00157
-2.36E-05,300,0.044940834,300,0.4415073,300,0.78035946,300.02142,0.76454867,300.00772,0.81095262,300.04216,0.81675448,300.04743,0.75796141,300.00394,0.78746789,300.01198,0.000426518,300,0.004477257,300,0.67835841,300.00118,0.71918297,300.00371,0.73558613,300.00624,0.74672193,300.00875,0.75548596,300.01126,0.76288978,300.01378,0.76936052,300.01631,0.77513331,300.01886,0.75226971,300.00511,0.75679315,300.00598,0.76084249,300.00685,0.80116361,300.03431,0.80459427,300.03692,0.80785082,300.03954,0.81391592,300.04479,0.77262624,300.00777,0.74855529,300.00307,0.77735114,300.00899,0.78163642,300.01019,0.78365079,300.01079,0.76802009,300.00524
-2.36E-05,300,0.074626072,300,0.63841663,300.00042,0.79380162,300.03553,0.77144811,300.01069,0.82570712,300.06815,0.83181199,300.07644,0.77679094,300.00824,0.79627238,300.01711,0.000724292,300,0.007454289,300,0.71559504,300.00418,0.73572664,300.00802,0.74911643,300.01187,0.75960787,300.01574,0.76833095,300.01964,0.77584216,300.02358,0.7824641,300.02754,0.78840351,300.03153,0.75966686,300.00751,0.76390445,300.00857,0.76781187,300.00963,0.81544581,300.0558,0.81903646,300.0599,0.8224504,300.06402,0.82882302,300.07229,0.78146172,300.01169,0.77181727,300.00709,0.78609241,300.01324,0.79037601,300.01479,0.79240633,300.01556,0.78321559,300.00995
-2.36E-05,300,0.12002201,299.99999,0.69348141,300.00248,0.80674296,300.05613,0.77849795,300.01453,0.84014271,300.1063,0.8465879,300.11906,0.78815976,300.01367,0.80532763,300.02394,0.001180745,300,0.012017006,300,0.72883228,300.00822,0.74732022,300.01399,0.760757,300.01985,0.77145339,300.02577,0.78040477,300.03175,0.78814232,300.03779,0.79498441,300.04387,0.80113742,300.04999,0.76665474,300.01055,0.7708928,300.01187,0.77482517,300.0132,0.82934948,300.0873,0.8331206,300.09361,0.83671176,300.09994,0.84343006,300.11267,0.79020898,300.01683,0.78366909,300.01213,0.79491933,300.01886,0.79929217,300.02089,0.80136853,300.0219,0.79428725,300.01598
-2.36E-05,300,0.18840511,299.99998,0.70848447,300.00538,0.8194662,300.08625,0.78589602,300.01957,0.85454591,300.16226,0.86137332,300.18162,0.79872032,300.02089,0.81471384,300.03315,0.001871217,300,0.018917277,300,0.73949219,300.01387,0.75819116,300.02255,0.77192692,300.03139,0.78291208,300.04034,0.79213809,300.04938,0.80013769,300.0585,0.80723113,300.06769,0.81362634,300.07695,0.77387092,300.01452,0.77816757,300.01619,0.78216117,300.01788,0.84315527,300.13346,0.84712909,300.14303,0.85091929,300.15263,0.85802581,300.17193,0.79919271,300.02371,0.79416387,300.01876,0.80401969,300.0264,0.80850807,300.02909,0.81064162,300.03044,0.80498526,300.02409
-2.36E-05,300,0.2900089,299.99996,0.71861299,300.00938,0.83216922,300.1303,0.79367376,300.02627,0.86913908,300.24432,0.87639708,300.2734,0.80931629,300.03073,0.82447248,300.04564,0.002905293,300,0.029247333,300,0.74969736,300.022,0.76878054,300.03498,0.7828723,300.04819,0.79418839,300.06157,0.80372582,300.0751,0.81202131,300.08874,0.81939795,300.10251,0.82606577,300.11636,0.78141824,300.01976,0.78579259,300.02193,0.78986306,300.0241,0.8570759,300.20109,0.86127785,300.21545,0.86529212,300.22986,0.87283588,300.25884,0.80847828,300.033,0.80462344,300.02778,0.81344386,300.0366,0.81806801,300.04021,0.82026843,300.04202,0.81578404,300.03519
