Ec X,Ec Y,Ev X,Ev Y,Efn X,Efn Y,Efp X,Efp Y
0,-10.032391,0,-11.15655,0,-10,0,-10
0.0011171877,-10.002219,0.0011171877,-11.126379,0.0011171877,-9.9698285,0.0011171877,-9.9698285
0.0044687502,-9.911705,0.0044687502,-11.035864,0.0044687502,-9.8793141,0.0044687502,-9.8793141
0.0055859378,-9.8815335,0.0055859378,-11.005693,0.0055859378,-9.8491426,0.0055859378,-9.8491426
0.0089375004,-9.7910191,0.0089375004,-10.915178,0.0089375004,-9.7586282,0.0089375004,-9.7586282
0.010054688,-9.7608476,0.010054688,-10.885007,0.010054688,-9.7284567,0.010054688,-9.7284567
0.01340625,-9.6703332,0.01340625,-10.794492,0.01340625,-9.6379423,0.01340625,-9.6379423
0.014523437,-9.6401617,0.014523437,-10.764321,0.014523437,-9.6077708,0.014523437,-9.6077708
0.017875001,-9.5496473,0.017875001,-10.673806,0.017875001,-9.5172564,0.017875001,-9.5172564
0.018992187,-9.5194758,0.018992187,-10.643635,0.018992187,-9.4870849,0.018992187,-9.4870849
0.022343749,-9.4289614,0.022343749,-10.553121,0.022343749,-9.3965705,0.022343749,-9.3965705
0.023460938,-9.3987899,0.023460938,-10.522949,0.023460938,-9.366399,0.023460938,-9.3663989
0.026812499,-9.3082755,0.026812499,-10.432435,0.026812499,-9.2758846,0.026812499,-9.2758843
0.027929688,-9.2781039,0.027929688,-10.402263,0.027929688,-9.2457131,0.027929688,-9.2457062
0.031281251,-9.1875892,0.031281251,-10.311748,0.031281251,-9.1551984,0.031281251,-9.1551718
0.031839844,-9.1725026,0.031839844,-10.296662,0.031839844,-9.1401121,0.031839844,-9.1400264
0.033515625,-9.1272427,0.033515625,-10.251402,0.033515625,-9.0948532,0.033515625,-9.0945904
0.033794921,-9.1196956,0.033794921,-10.243855,0.033794921,-9.0873084,0.033794921,-9.0869045
0.034632813,-9.0970541,0.034632813,-10.221213,0.034632813,-9.0646738,0.034632813,-9.0638468
