N1_contact TotalCurrent(n101_TLPn101_des) X,N1_contact TotalCurrent(n101_TLPn101_des) Y,N1_contact TotalCurrent(n102_TLPn102_des) X,N1_contact TotalCurrent(n102_TLPn102_des) Y,N1_contact TotalCurrent(n103_TLPn103_des) X,N1_contact TotalCurrent(n103_TLPn103_des) Y,N1_contact TotalCurrent(n104_TLPn104_des) X,N1_contact TotalCurrent(n104_TLPn104_des) Y,N1_contact TotalCurrent(n105_TLPn105_des) X,N1_contact TotalCurrent(n105_TLPn105_des) Y,N1_contact TotalCurrent(n106_TLPn106_des) X,N1_contact TotalCurrent(n106_TLPn106_des) Y,N1_contact TotalCurrent(n107_TLPn107_des) X,N1_contact TotalCurrent(n107_TLPn107_des) Y,N1_contact TotalCurrent(n108_TLPn108_des) X,N1_contact TotalCurrent(n108_TLPn108_des) Y,N1_contact TotalCurrent(n109_TLPn109_des) X,N1_contact TotalCurrent(n109_TLPn109_des) Y,N1_contact TotalCurrent(n298_TLPn298_des) X,N1_contact TotalCurrent(n298_TLPn298_des) Y,N1_contact TotalCurrent(n311_TLPn311_des) X,N1_contact TotalCurrent(n311_TLPn311_des) Y,N1_contact TotalCurrent(n324_TLPn324_des) X,N1_contact TotalCurrent(n324_TLPn324_des) Y,N1_contact TotalCurrent(n337_TLPn337_des) X,N1_contact TotalCurrent(n337_TLPn337_des) Y,N1_contact TotalCurrent(n350_TLPn350_des) X,N1_contact TotalCurrent(n350_TLPn350_des) Y,N1_contact TotalCurrent(n363_TLPn363_des) X,N1_contact TotalCurrent(n363_TLPn363_des) Y,N1_contact TotalCurrent(n376_TLPn376_des) X,N1_contact TotalCurrent(n376_TLPn376_des) Y,N1_contact TotalCurrent(n389_TLPn389_des) X,N1_contact TotalCurrent(n389_TLPn389_des) Y,N1_contact TotalCurrent(n402_TLPn402_des) X,N1_contact TotalCurrent(n402_TLPn402_des) Y,N1_contact TotalCurrent(n415_TLPn415_des) X,N1_contact TotalCurrent(n415_TLPn415_des) Y,N1_contact TotalCurrent(n428_TLPn428_des) X,N1_contact TotalCurrent(n428_TLPn428_des) Y,N1_contact TotalCurrent(n441_TLPn441_des) X,N1_contact TotalCurrent(n441_TLPn441_des) Y,N1_contact TotalCurrent(n454_TLPn454_des) X,N1_contact TotalCurrent(n454_TLPn454_des) Y,N1_contact TotalCurrent(n467_TLPn467_des) X,N1_contact TotalCurrent(n467_TLPn467_des) Y,N1_contact TotalCurrent(n480_TLPn480_des) X,N1_contact TotalCurrent(n480_TLPn480_des) Y,N1_contact TotalCurrent(n493_TLPn493_des) X,N1_contact TotalCurrent(n493_TLPn493_des) Y,N1_contact TotalCurrent(n506_TLPn506_des) X,N1_contact TotalCurrent(n506_TLPn506_des) Y,N1_contact TotalCurrent(n519_TLPn519_des) X,N1_contact TotalCurrent(n519_TLPn519_des) Y,N1_contact TotalCurrent(n532_TLPn532_des) X,N1_contact TotalCurrent(n532_TLPn532_des) Y,N1_contact TotalCurrent(n545_TLPn545_des) X,N1_contact TotalCurrent(n545_TLPn545_des) Y,N1_contact TotalCurrent(n558_TLPn558_des) X,N1_contact TotalCurrent(n558_TLPn558_des) Y,N1_contact TotalCurrent(n571_TLPn571_des) X,N1_contact TotalCurrent(n571_TLPn571_des) Y,N1_contact TotalCurrent(n584_TLPn584_des) X,N1_contact TotalCurrent(n584_TLPn584_des) Y,N1_contact Temperature(n101_TLPn101_des) X,N1_contact Temperature(n101_TLPn101_des) Y,N1_contact Temperature(n102_TLPn102_des) X,N1_contact Temperature(n102_TLPn102_des) Y,N1_contact Temperature(n103_TLPn103_des) X,N1_contact Temperature(n103_TLPn103_des) Y,N1_contact Temperature(n104_TLPn104_des) X,N1_contact Temperature(n104_TLPn104_des) Y,N1_contact Temperature(n105_TLPn105_des) X,N1_contact Temperature(n105_TLPn105_des) Y,N1_contact Temperature(n106_TLPn106_des) X,N1_contact Temperature(n106_TLPn106_des) Y,N1_contact Temperature(n107_TLPn107_des) X,N1_contact Temperature(n107_TLPn107_des) Y,N1_contact Temperature(n108_TLPn108_des) X,N1_contact Temperature(n108_TLPn108_des) Y,N1_contact Temperature(n109_TLPn109_des) X,N1_contact Temperature(n109_TLPn109_des) Y,N1_contact Temperature(n298_TLPn298_des) X,N1_contact Temperature(n298_TLPn298_des) Y,N1_contact Temperature(n311_TLPn311_des) X,N1_contact Temperature(n311_TLPn311_des) Y,N1_contact Temperature(n324_TLPn324_des) X,N1_contact Temperature(n324_TLPn324_des) Y,N1_contact Temperature(n337_TLPn337_des) X,N1_contact Temperature(n337_TLPn337_des) Y,N1_contact Temperature(n350_TLPn350_des) X,N1_contact Temperature(n350_TLPn350_des) Y,N1_contact Temperature(n363_TLPn363_des) X,N1_contact Temperature(n363_TLPn363_des) Y,N1_contact Temperature(n376_TLPn376_des) X,N1_contact Temperature(n376_TLPn376_des) Y,N1_contact Temperature(n389_TLPn389_des) X,N1_contact Temperature(n389_TLPn389_des) Y,N1_contact Temperature(n402_TLPn402_des) X,N1_contact Temperature(n402_TLPn402_des) Y,N1_contact Temperature(n415_TLPn415_des) X,N1_contact Temperature(n415_TLPn415_des) Y,N1_contact Temperature(n428_TLPn428_des) X,N1_contact Temperature(n428_TLPn428_des) Y,N1_contact Temperature(n441_TLPn441_des) X,N1_contact Temperature(n441_TLPn441_des) Y,N1_contact Temperature(n454_TLPn454_des) X,N1_contact Temperature(n454_TLPn454_des) Y,N1_contact Temperature(n467_TLPn467_des) X,N1_contact Temperature(n467_TLPn467_des) Y,N1_contact Temperature(n480_TLPn480_des) X,N1_contact Temperature(n480_TLPn480_des) Y,N1_contact Temperature(n493_TLPn493_des) X,N1_contact Temperature(n493_TLPn493_des) Y,N1_contact Temperature(n506_TLPn506_des) X,N1_contact Temperature(n506_TLPn506_des) Y,N1_contact Temperature(n519_TLPn519_des) X,N1_contact Temperature(n519_TLPn519_des) Y,N1_contact Temperature(n532_TLPn532_des) X,N1_contact Temperature(n532_TLPn532_des) Y,N1_contact Temperature(n545_TLPn545_des) X,N1_contact Temperature(n545_TLPn545_des) Y,N1_contact Temperature(n558_TLPn558_des) X,N1_contact Temperature(n558_TLPn558_des) Y,N1_contact Temperature(n571_TLPn571_des) X,N1_contact Temperature(n571_TLPn571_des) Y,N1_contact Temperature(n584_TLPn584_des) X,N1_contact Temperature(n584_TLPn584_des) Y
-2.36E-05,-9.80E-19,0.000748579,1.00E-10,0.00769711,1.00E-09,0.077045295,1.00E-08,0.10777397,1.40E-08,0.13843721,1.80E-08,0.15374244,2.00E-08,0.18429614,2.40E-08,0.21476835,2.80E-08,-1.59E-05,1.00E-12,5.36E-05,1.00E-11,0.015415098,2.00E-09,0.023130206,3.00E-09,0.030842298,4.00E-09,0.038551255,5.00E-09,0.046256963,6.00E-09,0.053959319,7.00E-09,0.061658222,8.00E-09,0.069353579,9.00E-09,0.084733282,1.10E-08,0.092417449,1.20E-08,0.10009771,1.30E-08,0.11544614,1.50E-08,0.12311413,1.60E-08,0.13077785,1.70E-08,0.1460921,1.90E-08,0.16138811,2.10E-08,0.16902903,2.20E-08,0.17666507,2.30E-08,0.19192212,2.50E-08,0.19954289,2.60E-08,0.20715835,2.70E-08,-2.36E-05,300,0.000748579,300,0.00769711,300,0.077045295,300,0.10777397,300,0.13843721,300,0.15374244,300,0.18429614,300,0.21476835,300,-1.59E-05,300,5.36E-05,300,0.015415098,300,0.023130206,300,0.030842298,300,0.038551255,300,0.046256963,300,0.053959319,300,0.061658222,300,0.069353579,300,0.084733282,300,0.092417449,300,0.10009771,300,0.11544614,300,0.12311413,300,0.13077785,300,0.1460921,300,0.16138811,300,0.16902903,300,0.17666507,300,0.19192212,300,0.19954289,300,0.20715835,300
-2.36E-05,2.52E-17,0.002786915,2.20E-10,0.028065042,2.20E-09,0.27844531,2.20E-08,0.38759496,3.08E-08,0.49394625,3.96E-08,0.54430347,4.40E-08,0.25545908,3.12E-08,0.67429485,6.16E-08,4.50E-06,2.20E-12,0.000257459,2.20E-11,0.056112838,4.40E-09,0.084114581,6.60E-09,0.1120658,8.80E-09,0.13996216,1.10E-08,0.16779911,1.32E-08,0.19557171,1.54E-08,0.22327452,1.76E-08,0.2509014,1.98E-08,0.30589805,2.42E-08,0.33324968,2.64E-08,0.36048764,2.86E-08,0.41454707,3.30E-08,0.44130567,3.52E-08,0.46780771,3.74E-08,0.5195411,4.18E-08,0.56781776,4.62E-08,0.2343753,2.86E-08,0.60917194,5.06E-08,0.64117052,5.50E-08,0.65388531,5.72E-08,0.2869922,3.51E-08,-2.36E-05,300,0.002786915,300,0.028065042,300,0.27844531,300,0.38759496,300,0.49394625,300,0.54430347,300,0.25545908,300,0.67429485,300,4.50E-06,300,0.000257459,300,0.056112838,300,0.084114581,300,0.1120658,300,0.13996216,300,0.16779911,300,0.19557171,300,0.22327452,300,0.2509014,300,0.30589805,300,0.33324968,300,0.36048764,300,0.41454707,300,0.44130567,300,0.46780771,300,0.5195411,300,0.56781776,300,0.2343753,300,0.60917194,300,0.64117052,300,0.65388531,300,0.2869922,300
-2.36E-05,-5.74E-18,0.006833302,3.64E-10,0.068438024,3.64E-09,0.62959386,3.64E-08,0.70698646,5.10E-08,0.73899665,6.55E-08,0.74981063,7.28E-08,0.36336888,3.98E-08,0.74140961,7.17E-08,4.50E-05,3.64E-12,0.000662176,3.64E-11,0.13661455,7.28E-09,0.20443974,1.09E-08,0.27183603,1.46E-08,0.33869649,1.82E-08,0.40484093,2.18E-08,0.46982658,2.55E-08,0.5321544,2.91E-08,0.58738255,3.28E-08,0.65885628,4.00E-08,0.67947559,4.37E-08,0.69486813,4.73E-08,0.71692519,5.46E-08,0.72532906,5.82E-08,0.73259928,6.19E-08,0.74469506,6.92E-08,0.6770357,5.38E-08,0.33362098,3.65E-08,0.70568844,5.89E-08,0.72413973,6.40E-08,0.73090563,6.66E-08,0.407706,4.48E-08,-2.36E-05,300,0.006833302,300,0.068438024,300,0.62959386,300,0.70698646,300,0.73899665,300,0.74981063,300,0.36336888,300,0.74140961,300,4.50E-05,300,0.000662176,300,0.13661455,300,0.20443974,300,0.27183603,300,0.33869649,300,0.40484093,300,0.46982658,300,0.5321544,300,0.58738255,300,0.65885628,300,0.67947559,300,0.69486813,300,0.71692519,300,0.72532906,300,0.73259928,300,0.74469506,300,0.6770357,300,0.33362098,300,0.70568844,300,0.72413973,300,0.73090563,300,0.407706,300
-2.36E-05,2.76E-17,0.013992158,5.37E-10,0.13963177,5.37E-09,0.74225339,5.37E-08,0.74259604,5.70E-08,0.77764772,9.66E-08,0.78326684,1.07E-07,0.52209192,5.02E-08,0.76682916,8.38E-08,0.000116593,5.37E-12,0.001378366,5.37E-11,0.27779185,1.07E-08,0.41355263,1.61E-08,0.54208989,2.15E-08,0.63360203,2.68E-08,0.67848586,3.22E-08,0.70378459,3.76E-08,0.72079683,4.29E-08,0.73314573,4.83E-08,0.71658087,4.48E-08,0.72779378,4.89E-08,0.73604909,5.29E-08,0.76776338,8.05E-08,0.77129899,8.59E-08,0.77457942,9.13E-08,0.78053553,1.02E-07,0.73898315,6.28E-08,0.48061046,4.60E-08,0.75056745,6.88E-08,0.75842011,7.48E-08,0.76154367,7.78E-08,0.58167068,5.65E-08,-2.36E-05,300,0.013992158,300,0.13963177,300,0.74225339,300,0.74259604,300,0.77764772,300,0.78326684,300,0.52209192,300,0.76682916,300,0.000116593,300,0.001378366,300,0.27779185,300,0.41355263,300,0.54208989,300,0.63360203,300,0.67848586,300,0.70378459,300,0.72079683,300,0.73314573,300,0.71658087,300,0.72779378,300,0.73604909,300,0.76776338,300,0.77129899,300,0.77457942,300,0.78053553,300,0.73898315,300,0.48061046,300,0.75056745,300,0.75842011,300,0.76154367,300,0.58167068,300
-2.36E-05,1.16E-17,0.02589568,7.44E-10,0.25716475,7.44E-09,0.76565933,7.44E-08,0.75664072,6.43E-08,0.79544029,1.34E-07,0.8009845,1.49E-07,0.6944039,6.26E-08,0.77848973,9.83E-08,0.000235738,7.44E-12,0.002569725,7.44E-11,0.50496291,1.49E-08,0.65706483,2.23E-08,0.70427193,2.98E-08,0.72610618,3.72E-08,0.73838235,4.46E-08,0.74717457,5.21E-08,0.75428341,5.95E-08,0.76034363,6.70E-08,0.7413965,5.05E-08,0.74743512,5.51E-08,0.7523732,5.97E-08,0.78603399,1.12E-07,0.78933873,1.19E-07,0.79246732,1.27E-07,0.79827461,1.41E-07,0.76168063,7.37E-08,0.66432125,5.74E-08,0.7675268,8.07E-08,0.77233741,8.78E-08,0.77449966,9.13E-08,0.72473563,7.05E-08,-2.36E-05,300,0.02589568,300,0.25716475,300,0.76565933,300,0.75664072,300,0.79544029,300,0.8009845,300,0.6944039,300,0.77848973,300,0.000235738,300,0.002569725,300,0.50496291,300,0.65706483,300,0.70427193,300,0.72610618,300,0.73838235,300,0.74717457,300,0.75428341,300,0.76034363,300,0.7413965,300,0.74743512,300,0.7523732,300,0.78603399,300,0.78933873,300,0.79246732,300,0.79827461,300,0.76168063,300,0.66432125,300,0.7675268,300,0.77233741,300,0.77449966,300,0.72473563,300
-2.36E-05,1.64E-17,0.044940834,9.93E-10,0.4415073,9.93E-09,0.78035946,9.93E-08,0.76454867,7.30E-08,0.81095262,1.79E-07,0.81675448,1.99E-07,0.75796141,7.76E-08,0.78746789,1.16E-07,0.000426518,9.93E-12,0.004477257,9.93E-11,0.67835841,1.99E-08,0.71918297,2.98E-08,0.73558613,3.97E-08,0.74672193,4.96E-08,0.75548596,5.96E-08,0.76288978,6.95E-08,0.76936052,7.94E-08,0.77513331,8.94E-08,0.75226971,5.73E-08,0.75679315,6.25E-08,0.76084249,6.78E-08,0.80116361,1.49E-07,0.80459427,1.59E-07,0.80785082,1.69E-07,0.81391592,1.89E-07,0.77262624,8.68E-08,0.74855529,7.11E-08,0.77735114,9.50E-08,0.78163642,1.03E-07,0.78365079,1.07E-07,0.76802009,8.73E-08,-2.36E-05,300,0.044940834,300,0.4415073,300,0.78035946,300,0.76454867,300,0.81095262,300,0.81675448,300,0.75796141,300,0.78746789,300,0.000426518,300,0.004477257,300,0.67835841,300,0.71918297,300,0.73558613,300,0.74672193,300,0.75548596,300,0.76288978,300,0.76936052,300,0.77513331,300,0.75226971,300,0.75679315,300,0.76084249,300,0.80116361,300,0.80459427,300,0.80785082,300,0.81391592,300,0.77262624,300,0.74855529,300,0.77735114,300,0.78163642,300,0.78365079,300,0.76802009,300
-2.36E-05,-1.26E-18,0.074626072,1.29E-09,0.63841663,1.29E-08,0.79380162,1.29E-07,0.77144811,8.34E-08,0.82570712,2.32E-07,0.83181199,2.58E-07,0.77679094,9.55E-08,0.79627238,1.37E-07,0.000724292,1.29E-11,0.007454289,1.29E-10,0.71559504,2.58E-08,0.73572664,3.87E-08,0.74911643,5.17E-08,0.75960787,6.46E-08,0.76833095,7.75E-08,0.77584216,9.04E-08,0.7824641,1.03E-07,0.78840351,1.16E-07,0.75966686,6.55E-08,0.76390445,7.15E-08,0.76781187,7.75E-08,0.81544581,1.94E-07,0.81903646,2.07E-07,0.8224504,2.20E-07,0.82882302,2.45E-07,0.78146172,1.02E-07,0.77181727,8.75E-08,0.78609241,1.12E-07,0.79037601,1.22E-07,0.79240633,1.27E-07,0.78321559,1.07E-07,-2.36E-05,300,0.074626072,300,0.63841663,300,0.79380162,300,0.77144811,300,0.82570712,300,0.83181199,300,0.77679094,300,0.79627238,300,0.000724292,300,0.007454289,300,0.71559504,300,0.73572664,300,0.74911643,300,0.75960787,300,0.76833095,300,0.77584216,300,0.7824641,300,0.78840351,300,0.75966686,300,0.76390445,300,0.76781187,300,0.81544581,300,0.81903646,300,0.8224504,300,0.82882302,300,0.78146172,300,0.77181727,300,0.78609241,300,0.79037601,300,0.79240633,300,0.78321559,300
-2.36E-05,-3.50E-18,0.12002201,1.65E-09,0.69348141,1.65E-08,0.80674296,1.65E-07,0.77849795,9.60E-08,0.84014271,2.97E-07,0.8465879,3.30E-07,0.78815976,1.17E-07,0.80532763,1.62E-07,0.001180745,1.65E-11,0.012017006,1.65E-10,0.72883228,3.30E-08,0.74732022,4.95E-08,0.760757,6.60E-08,0.77145339,8.25E-08,0.78040477,9.90E-08,0.78814232,1.15E-07,0.79498441,1.32E-07,0.80113742,1.48E-07,0.76665474,7.54E-08,0.7708928,8.23E-08,0.77482517,8.91E-08,0.82934948,2.47E-07,0.8331206,2.64E-07,0.83671176,2.80E-07,0.84343006,3.13E-07,0.79020898,1.21E-07,0.78366909,1.07E-07,0.79491933,1.33E-07,0.79929217,1.44E-07,0.80136853,1.50E-07,0.79428725,1.32E-07,-2.36E-05,300,0.12002201,300,0.69348141,300,0.80674296,300,0.77849795,300,0.84014271,300,0.8465879,300,0.78815976,300,0.80532763,300,0.001180745,300,0.012017006,300,0.72883228,300,0.74732022,300,0.760757,300,0.77145339,300,0.78040477,300,0.78814232,300,0.79498441,300,0.80113742,300,0.76665474,300,0.7708928,300,0.77482517,300,0.82934948,300,0.8331206,300,0.83671176,300,0.84343006,300,0.79020898,300,0.78366909,300,0.79491933,300,0.79929217,300,0.80136853,300,0.79428725,300
-2.36E-05,2.41E-17,0.18840511,2.08E-09,0.70848447,2.08E-08,0.8194662,2.08E-07,0.78589602,1.11E-07,0.85454591,3.74E-07,0.86137332,4.16E-07,0.79872032,1.43E-07,0.81471384,1.92E-07,0.001871217,2.08E-11,0.018917277,2.08E-10,0.73949219,4.16E-08,0.75819116,6.24E-08,0.77192692,8.32E-08,0.78291208,1.04E-07,0.79213809,1.25E-07,0.80013769,1.46E-07,0.80723113,1.66E-07,0.81362634,1.87E-07,0.77387092,8.72E-08,0.77816757,9.52E-08,0.78216117,1.03E-07,0.84315527,3.12E-07,0.84712909,3.33E-07,0.85091929,3.54E-07,0.85802581,3.95E-07,0.79919271,1.44E-07,0.79416387,1.31E-07,0.80401969,1.58E-07,0.80850807,1.71E-07,0.81064162,1.78E-07,0.80498526,1.61E-07,-2.36E-05,300,0.18840511,300,0.70848447,300,0.8194662,300,0.78589602,300,0.85454591,300,0.86137332,300,0.79872032,300,0.81471384,300,0.001871217,300,0.018917277,300,0.73949219,300,0.75819116,300,0.77192692,300,0.78291208,300,0.79213809,300,0.80013769,300,0.80723113,300,0.81362634,300,0.77387092,300,0.77816757,300,0.78216117,300,0.84315527,300,0.84712909,300,0.85091929,300,0.85802581,300,0.79919271,300,0.79416387,300,0.80401969,300,0.80850807,300,0.81064162,300,0.80498526,300
-2.36E-05,-9.24E-18,0.2900089,2.60E-09,0.71861299,2.60E-08,0.83216922,2.60E-07,0.79367376,1.29E-07,0.86913908,4.67E-07,0.87639708,5.19E-07,0.80931629,1.74E-07,0.82447248,2.28E-07,0.002905293,2.60E-11,0.029247333,2.60E-10,0.74969736,5.19E-08,0.76878054,7.79E-08,0.7828723,1.04E-07,0.79418839,1.30E-07,0.80372582,1.56E-07,0.81202131,1.82E-07,0.81939795,2.08E-07,0.82606577,2.34E-07,0.78141824,1.01E-07,0.78579259,1.11E-07,0.78986306,1.20E-07,0.8570759,3.89E-07,0.86127785,4.15E-07,0.86529212,4.41E-07,0.87283588,4.93E-07,0.80847828,1.71E-07,0.80462344,1.59E-07,0.81344386,1.87E-07,0.81806801,2.03E-07,0.82026843,2.12E-07,0.81578404,1.95E-07,-2.36E-05,300,0.2900089,300,0.71861299,300,0.83216922,300,0.79367376,300,0.86913908,300,0.87639708,300,0.80931629,300,0.82447248,300,0.002905293,300,0.029247333,300,0.74969736,300,0.76878054,300,0.7828723,300,0.79418839,300,0.80372582,300,0.81202131,300,0.81939795,300,0.82606577,300,0.78141824,300,0.78579259,300,0.78986306,300,0.8570759,300,0.86127785,300,0.86529212,300,0.87283588,300,0.80847828,300,0.80462344,300,0.81344386,300,0.81806801,300,0.82026843,300,0.81578404,300
-2.36E-05,-2.52E-18,0.43768469,3.22E-09,0.7281284,3.22E-08,0.84501045,3.22E-07,0.80184374,1.51E-07,0.8841128,5.79E-07,0.8918577,6.43E-07,0.82009452,2.11E-07,0.83464524,2.71E-07,0.004442076,3.22E-11,0.044589726,3.22E-10,0.75970611,6.43E-08,0.77923758,9.65E-08,0.79373375,1.29E-07,0.80542348,1.61E-07,0.81531171,1.93E-07,0.82394023,2.25E-07,0.83163558,2.57E-07,0.83861023,2.89E-07,0.78931571,1.18E-07,0.79378264,1.29E-07,0.79794392,1.40E-07,0.87128994,4.82E-07,0.87574946,5.14E-07,0.88001684,5.47E-07,0.8880548,6.11E-07,0.81810417,2.03E-07,0.81523943,1.93E-07,0.82323045,2.23E-07,0.82801157,2.42E-07,0.83028919,2.52E-07,0.82679943,2.37E-07,-2.36E-05,300,0.43768469,300,0.7281284,300,0.84501045,300,0.80184374,300,0.8841128,300,0.8918577,300,0.82009452,300,0.83464524,300,0.004442076,300,0.044589726,300,0.75970611,300,0.77923758,300,0.79373375,300,0.80542348,300,0.81531171,300,0.82394023,300,0.83163558,300,0.83861023,300,0.78931571,300,0.79378264,300,0.79794392,300,0.87128994,300,0.87574946,300,0.88001684,300,0.8880548,300,0.81810417,300,0.81523943,300,0.82323045,300,0.82801157,300,0.83028919,300,0.82679943,300
-2.36E-05,1.97E-17,0.59116935,3.96E-09,0.73745474,3.96E-08,0.85812794,3.96E-07,0.81042014,1.77E-07,0.89964442,7.12E-07,0.90794213,7.92E-07,0.83113762,2.55E-07,0.84527888,3.23E-07,0.006712207,3.96E-11,0.067231007,3.96E-10,0.76962837,7.92E-08,0.78966845,1.19E-07,0.80462053,1.58E-07,0.81673086,1.98E-07,0.82701397,2.37E-07,0.83601755,2.77E-07,0.84407207,3.17E-07,0.85139276,3.56E-07,0.79757507,1.39E-07,0.80215,1.52E-07,0.8064169,1.64E-07,0.88596016,5.94E-07,0.89071158,6.33E-07,0.89526596,6.73E-07,0.90386476,7.52E-07,0.82810979,2.42E-07,0.82609597,2.34E-07,0.83342083,2.66E-07,0.83838223,2.89E-07,0.84074845,3.00E-07,0.83811449,2.87E-07,-2.36E-05,300,0.59116935,300,0.73745474,300,0.85812794,300,0.81042014,300,0.89964442,300,0.90794213,300,0.83113762,300,0.84527888,300,0.006712207,300,0.067231007,300,0.76962837,300,0.78966845,300,0.80462053,300,0.81673086,300,0.82701397,300,0.83601755,300,0.84407207,300,0.85139276,300,0.79757507,300,0.80215,300,0.8064169,300,0.88596016,300,0.89071158,300,0.89526596,300,0.90386476,300,0.82810979,300,0.82609597,300,0.83342083,300,0.83838223,300,0.84074845,300,0.83811449,300
-2.36E-05,-1.95E-17,0.64221685,4.85E-09,0.74669234,4.85E-08,0.87165086,4.85E-07,0.81942166,2.08E-07,0.91591091,8.73E-07,0.92483905,9.70E-07,0.84252177,3.09E-07,0.856427,3.86E-07,0.010049592,4.85E-11,0.10046338,4.85E-10,0.77954672,9.70E-08,0.80015994,1.45E-07,0.81562508,1.94E-07,0.828209,2.42E-07,0.8389372,2.91E-07,0.84836403,3.39E-07,0.85682433,3.88E-07,0.86453643,4.36E-07,0.80621078,1.63E-07,0.8109105,1.78E-07,0.81529925,1.93E-07,0.90124581,7.27E-07,0.9063294,7.76E-07,0.91121058,8.24E-07,0.92044858,9.21E-07,0.83853907,2.89E-07,0.83726705,2.83E-07,0.84406169,3.17E-07,0.84922944,3.44E-07,0.85169706,3.58E-07,0.84980902,3.48E-07,-2.36E-05,300,0.64221685,300,0.74669234,300,0.87165086,300,0.81942166,300,0.91591091,300,0.92483905,300,0.84252177,300,0.856427,300,0.010049592,300,0.10046338,300,0.77954672,300,0.80015994,300,0.81562508,300,0.828209,300,0.8389372,300,0.84836403,300,0.85682433,300,0.86453643,300,0.80621078,300,0.8109105,300,0.81529925,300,0.90124581,300,0.9063294,300,0.91121058,300,0.92044858,300,0.83853907,300,0.83726705,300,0.84406169,300,0.84922944,300,0.85169706,300,0.84980902,300
-2.36E-05,-1.57E-17,0.65634116,5.92E-09,0.75590695,5.92E-08,0.88570771,5.92E-07,0.82887261,2.45E-07,0.93309966,1.07E-06,0.94275051,1.18E-06,0.85432396,3.73E-07,0.8681515,4.61E-07,0.014937062,5.92E-11,0.14900266,5.92E-10,0.7895301,1.18E-07,0.81078797,1.78E-07,0.82683079,2.37E-07,0.83994886,2.96E-07,0.85117995,3.55E-07,0.86108576,4.14E-07,0.87000598,4.74E-07,0.87816229,5.33E-07,0.81524176,1.93E-07,0.82008485,2.10E-07,0.82461347,2.28E-07,0.91731228,8.88E-07,0.92277562,9.47E-07,0.92803074,1.01E-06,0.93800098,1.12E-06,0.84944212,3.45E-07,0.84882645,3.42E-07,0.8552065,3.78E-07,0.86061005,4.11E-07,0.86319354,4.28E-07,0.86196484,4.20E-07,-2.36E-05,300,0.65634116,300,0.75590695,300,0.88570771,300,0.82887261,300,0.93309966,300,0.94275051,300,0.85432396,300,0.8681515,300,0.014937062,300,0.14900266,300,0.7895301,300,0.81078797,300,0.82683079,300,0.83994886,300,0.85117995,300,0.86108576,300,0.87000598,300,0.87816229,300,0.81524176,300,0.82008485,300,0.82461347,300,0.91731228,300,0.92277562,300,0.92803074,300,0.93800098,300,0.84944212,300,0.84882645,300,0.8552065,300,0.86061005,300,0.86319354,300,0.86196484,300
