Ec X,Ec Y,Ev X,Ev Y,Efn X,Efn Y,Efp X,Efp Y
0,0.16760915,0,-0.95655008,0,0.2,0,0.2
0.00063138315,0.16760915,0.00063138315,-0.95655008,0.00063138315,0.2,0.00063138315,0.19903352
0.002546875,0.16760915,0.002546875,-0.95655008,0.002546875,0.2,0.002546875,0.19610143
0.0031782582,0.16760915,0.0031782582,-0.95655008,0.0031782582,0.2,0.0031782582,0.19526165
0.0050937501,0.16760915,0.0050937501,-0.95655008,0.0050937501,0.2,0.0050937501,0.19271393
0.0057251332,0.16760915,0.0057251332,-0.95655008,0.0057251332,0.2,0.0057251332,0.19197132
0.0076406249,0.16760915,0.0076406249,-0.95655008,0.0076406249,0.2,0.0076406249,0.18971838
0.008272008,0.16760915,0.008272008,-0.95655008,0.008272008,0.2,0.008272008,0.18905263
0.0101875,0.16760915,0.0101875,-0.95655008,0.0101875,0.2,0.0101875,0.18703288
0.010818883,0.16760915,0.010818883,-0.95655008,0.010818883,0.2,0.010818883,0.18642944
0.012734375,0.16760915,0.012734375,-0.95655008,0.012734375,0.2,0.012734375,0.18459873
0.013365758,0.16760915,0.013365758,-0.95655008,0.013365758,0.2,0.013365758,0.18404681
0.01528125,0.16760915,0.01528125,-0.95655008,0.01528125,0.2,0.01528125,0.18237239
0.015912633,0.16760915,0.015912633,-0.95655008,0.015912633,0.2,0.015912633,0.18186377
0.017828126,0.16760915,0.017828126,-0.95655008,0.017828126,0.2,0.017828126,0.18032069
0.018459508,0.16760915,0.018459508,-0.95655008,0.018459508,0.2,0.018459508,0.17984895
0.020375,0.16760915,0.020375,-0.95655008,0.020375,0.2,0.020375,0.17841777
0.021006383,0.16760915,0.021006383,-0.95655008,0.021006383,0.2,0.021006383,0.17797782
0.022921875,0.16760915,0.022921875,-0.95655008,0.022921875,0.2,0.022921875,0.17664308
0.023553258,0.16760915,0.023553258,-0.95655008,0.023553258,0.2,0.023553258,0.1762308
0.02546875,0.16760915,0.02546875,-0.95655008,0.02546875,0.2,0.02546875,0.17498001
0.026100133,0.16760915,0.026100133,-0.95655008,0.026100133,0.2,0.026100133,0.17459203
0.028015625,0.16760915,0.028015625,-0.95655008,0.028015625,0.2,0.028015625,0.17341496
0.028647007,0.16760915,0.028647007,-0.95655008,0.028647007,0.2,0.028647007,0.17304847
0.0305625,0.16760915,0.0305625,-0.95655008,0.0305625,0.2,0.0305625,0.17193664
0.031193882,0.16760915,0.031193882,-0.95655008,0.031193882,0.2,0.031193882,0.17158931
0.033109374,0.16760915,0.033109374,-0.95655008,0.033109374,0.2,0.033109374,0.17053558
0.033425067,0.16760917,0.033425067,-0.95655006,0.033425067,0.2,0.033425067,0.17036846
0.034382813,0.16760921,0.034382813,-0.95655002,0.034382813,0.2,0.034382813,0.16986146
0.034698505,0.16760939,0.034698505,-0.95654984,0.034698505,0.2,0.034698505,0.16969841
0.035656251,0.16760991,0.035656251,-0.95654932,0.035656251,0.2,0.035656251,0.16920375
0.035971943,0.16761144,0.035971943,-0.95654779,0.035971943,0.2,0.035971943,0.16904363
0.03629297,0.16761301,0.03629297,-0.95654623,0.03629297,0.2,0.03629297,0.16888081
0.036608662,0.16761804,0.036608662,-0.95654119,0.036608662,0.2,0.036608662,0.16872214
0.03661133,0.16761809,0.03661133,-0.95654114,0.03661133,0.2,0.03661133,0.16872079
0.036769174,0.16762268,0.036769174,-0.95653655,0.036769174,0.2,0.036769174,0.16864182
0.036770508,0.16762272,0.036770508,-0.95653651,0.036770508,0.2,0.036770508,0.16864115
0.036773175,0.16762283,0.036773175,-0.9565364,0.036773175,0.2,0.036773175,0.16863982
0.036929689,0.16762936,0.036929689,-0.95652987,0.036929689,0.2,0.036929689,0.16856176
0.037007943,0.16763378,0.037007943,-0.95652545,0.037007943,0.2,0.037007943,0.16852283
0.037009276,0.16763386,0.037009276,-0.95652537,0.037009276,0.2,0.037009276,0.16852216
0.037087534,0.1676392,0.037087534,-0.95652003,0.037087534,0.2,0.037087534,0.16848329
0.037088867,0.16763929,0.037088867,-0.95651994,0.037088867,0.2,0.037088867,0.16848263
0.037167124,0.16764575,0.037167124,-0.95651348,0.037167124,0.2,0.037167124,0.16844382
0.037168458,0.16764586,0.037168458,-0.95651337,0.037168458,0.2,0.037168458,0.16844316
0.037246712,0.1676537,0.037246712,-0.95650553,0.037246712,0.2,0.037246712,0.16840442
0.037248045,0.16765383,0.037248045,-0.9565054,0.037248045,0.2,0.037248045,0.16840376
0.037326302,0.16766333,0.037326302,-0.95649591,0.037326302,0.2,0.037326302,0.16836509
0.037327636,0.16766349,0.037327636,-0.95649574,0.037327636,0.2,0.037327636,0.16836443
0.037405893,0.16767501,0.037405893,-0.95648423,0.037405893,0.2,0.037405893,0.16832583
0.037407227,0.1676752,0.037407227,-0.95648403,0.037407227,0.2,0.037407227,0.16832517
0.037485484,0.16768918,0.037485484,-0.95647005,0.037485484,0.2,0.037485484,0.16828665
0.037486818,0.16768942,0.037486818,-0.95646981,0.037486818,0.2,0.037486818,0.16828599
0.037565071,0.16770638,0.037565071,-0.95645285,0.037565071,0.2,0.037565071,0.16824755
0.037566405,0.16770667,0.037566405,-0.95645256,0.037566405,0.2,0.037566405,0.16824689
0.037644662,0.16772726,0.037644662,-0.95643197,0.037644662,0.2,0.037644662,0.16820853
0.037645996,0.16772761,0.037645996,-0.95643162,0.037645996,0.2,0.037645996,0.16820788
0.037724253,0.1677526,0.037724253,-0.95640663,0.037724253,0.2,0.037724253,0.16816961
0.037725586,0.16775303,0.037725586,-0.9564062,0.037725586,0.2,0.037725586,0.16816895
0.037803844,0.16778337,0.037803844,-0.95637586,0.037803844,0.2,0.037803844,0.16813078
0.037805177,0.16778388,0.037805177,-0.95637535,0.037805177,0.2,0.037805177,0.16813013
0.037883431,0.16782071,0.037883431,-0.95633852,0.037883431,0.2,0.037883431,0.16809205
0.037884764,0.16782134,0.037884764,-0.95633789,0.037884764,0.2,0.037884764,0.1680914
0.037963022,0.16786604,0.037963022,-0.95629319,0.037963022,0.2,0.037963022,0.16805345
0.037964355,0.16786681,0.037964355,-0.95629243,0.037964355,0.2,0.037964355,0.1680528
0.038042612,0.16792106,0.038042612,-0.95623817,0.038042612,0.2,0.038042612,0.16801497
0.038043946,0.16792199,0.038043946,-0.95623724,0.038043946,0.2,0.038043946,0.16801433
0.038122203,0.16798783,0.038122203,-0.9561714,0.038122203,0.2,0.038122203,0.16797664
0.038123537,0.16798895,0.038123537,-0.95617028,0.038123537,0.2,0.038123537,0.167976
0.03820179,0.16806884,0.03820179,-0.95609039,0.03820179,0.2,0.03820179,0.16793847
0.038203124,0.1680702,0.038203124,-0.95608903,0.038203124,0.2,0.038203124,0.16793783
0.038281381,0.16816712,0.038281381,-0.95599211,0.038281381,0.2,0.038281381,0.16790049
0.038282715,0.16816877,0.038282715,-0.95599046,0.038282715,0.2,0.038282715,0.16789985
0.038360972,0.16828632,0.038360972,-0.95587291,0.038360972,0.2,0.038360972,0.16786271
0.038362306,0.16828832,0.038362306,-0.95587091,0.038362306,0.2,0.038362306,0.16786208
0.038440559,0.16843085,0.038440559,-0.95572838,0.038440559,0.2,0.038440559,0.16782519
0.038441893,0.16843328,0.038441893,-0.95572595,0.038441893,0.2,0.038441893,0.16782456
0.03852015,0.16860603,0.03852015,-0.9555532,0.03852015,0.2,0.03852015,0.16778794
0.038521484,0.16860897,0.038521484,-0.95555026,0.038521484,0.2,0.038521484,0.16778732
0.038599741,0.16881826,0.038599741,-0.95534097,0.038599741,0.2,0.038599741,0.16775102
0.038601074,0.16882183,0.038601074,-0.9553374,0.038601074,0.2,0.038601074,0.1677504
0.038679332,0.16907527,0.038679332,-0.95508397,0.038679332,0.2,0.038679332,0.16771449
0.038680665,0.16907959,0.038680665,-0.95507965,0.038680665,0.2,0.038680665,0.16771387
0.038758919,0.16938628,0.038758919,-0.95477295,0.038758919,0.2,0.038758919,0.1676784
0.038760252,0.16939151,0.038760252,-0.95476772,0.038760252,0.2,0.038760252,0.16767779
0.038838509,0.16976238,0.038838509,-0.95439685,0.038838509,0.2,0.038838509,0.16764283
0.038839843,0.1697687,0.038839843,-0.95439053,0.038839843,0.2,0.038839843,0.16764223
0.0389181,0.17021677,0.0389181,-0.95394246,0.0389181,0.2,0.0389181,0.16760787
0.038919434,0.17022441,0.038919434,-0.95393482,0.038919434,0.2,0.038919434,0.16760729
0.038997691,0.17076516,0.038997691,-0.95339407,0.038997691,0.2,0.038997691,0.16757363
0.038999025,0.17077438,0.038999025,-0.95338485,0.038999025,0.2,0.038999025,0.16757306
0.039077278,0.17142614,0.039077278,-0.95273309,0.039077278,0.2,0.039077278,0.16754022
0.039078612,0.17143725,0.039078612,-0.95272198,0.039078612,0.2,0.039078612,0.16753967
0.039156869,0.17222159,0.039156869,-0.95193764,0.039156869,0.2,0.039156869,0.16750778
0.039158203,0.17223496,0.039158203,-0.95192427,0.039158203,0.2,0.039158203,0.16750724
0.03923646,0.17317713,0.03923646,-0.9509821,0.03923646,0.2,0.03923646,0.16747645
