N1_contact TotalCurrent(n1_sweep_n298_des) X,N1_contact TotalCurrent(n1_sweep_n298_des) Y
0,-9.7962228e-19
-0.0001,-4.3120874e-18
-0.0002292,-9.7962228e-19
-0.0003961264,-9.7962228e-19
-0.0006104599,-4.3383272e-18
-0.00088909344,-4.3383272e-18
-0.0012513171,-4.3383272e-18
-0.0017222077,-7.9769243e-18
-0.0023343657,-1.1615521e-17
-0.0031301709,-1.4974226e-17
-0.0041647178,-1.8612823e-17
-0.0055096287,-2.5610125e-17
-0.0072580129,-3.2607427e-17
-0.0095309123,-4.3243326e-17
-0.012485682,-5.3599333e-17
-0.016326882,-6.4235232e-17
-0.021320442,-8.8865736e-17
-0.027692224,-1.1349624e-16
-0.035822619,-1.4148545e-16
-0.046197003,-1.7339314e-16
-0.059434716,-2.1537696e-16
-0.076114235,-2.6827656e-16
-0.097263865,-3.4552677e-16
-0.12441999,-4.6504069e-16
-0.15885396,-6.6908202e-16
-0.20251623,-1.0505749e-15
-0.25787998,-1.8561043e-15
-0.32852414,-3.8184277e-15
-0.41866608,-9.5262669e-15
-0.5336872,-3.0311612e-14
-0.68045414,-1.3085489e-13
-0.8689029,-8.3605007e-13
-1.1108711,-8.6917018e-12
-1.4215583,-1.6302977e-10
-1.8204806,-5.938291e-09
-2.3204806,-3.1672658e-07
-2.8204806,-4.7396089e-06
-3.3204806,-2.0300746e-05
-3.8204806,-4.7604413e-05
-4.3204806,-8.4754206e-05
-4.8204806,-0.00013035272
-5.3204806,-0.00018353961
-5.8204806,-0.00024374907
-6.3204806,-0.00031056244
-6.8204806,-0.00038363947
-7.3204806,-0.00046268776
-7.8204806,-0.00054744787
-8.3204806,-0.00063768507
-8.8204806,-0.00073318411
-9.3204806,-0.00083374563
-9.8204806,-0.00093918353
-10,-0.00097819569
-10,-0.00097819569
-9.9998,-0.00097815189
-9.99954,-0.00097809495
-9.999202,-0.00097802094
-9.9987626,-0.00097792473
-9.9981914,-0.00097779965
-9.9974488,-0.00097763706
-9.9964834,-0.00097742572
-9.9952285,-0.00097715099
-9.993597,-0.00097679389
-9.9914761,-0.00097632973
-9.9887189,-0.00097572645
-9.9851346,-0.0009749424
-9.980475,-0.00097392349
-9.9744175,-0.00097259951
-9.9665427,-0.00097087935
-9.9563056,-0.00096864488
-9.9429972,-0.00096574298
-9.9256964,-0.00096197544
-9.9032053,-0.00095708599
-9.8739669,-0.00095074385
-9.8361909,-0.00094257352
-9.7873843,-0.00093205714
-9.7243261,-0.00091853648
-9.642855,-0.00090117932
-9.5375943,-0.00087894115
-9.4015975,-0.00085052455
-9.2258896,-0.0008143417
-8.998875,-0.00076849235
-8.7055721,-0.00071078177
-8.3266248,-0.00063882709
-7.8370249,-0.0005503473
-7.2044618,-0.00044382762
-6.3871902,-0.00031995701
-5.3871902,-0.00019117696
-5,-0.00014860956
-4,-5.9897024e-05
-3,-8.8789003e-06
-2,-2.7218862e-08
-1,-2.9900559e-12
0,-9.7962228e-19
1,2.1626819e-06
2,4.6872673e-05
3,0.0001370312
4,0.00026531064
5,0.00042706853
6,0.00061875184
7,0.00083745148
8,0.0010806989
9,0.0013463481
10,0.0016324971

